ProteinAccessions	ProteinDescriptions	MolecularWeight	NrOfModifiedSequencesIdentifiedExperimentwide	is_SEC_Candidate	NrOfModifiedSequencesIdentified_SEC_fraction_47	NrOfModifiedSequencesIdentified_SEC_fraction_53	NrOfModifiedSequencesIdentified_SEC_fraction_54	NrOfModifiedSequencesIdentified_SEC_fraction_55	NrOfModifiedSequencesIdentified_SEC_fraction_56	NrOfModifiedSequencesIdentified_SEC_fraction_57	NrOfModifiedSequencesIdentified_SEC_fraction_58	NrOfModifiedSequencesIdentified_SEC_fraction_59	NrOfModifiedSequencesIdentified_SEC_fraction_60	NrOfModifiedSequencesIdentified_SEC_fraction_61	NrOfModifiedSequencesIdentified_SEC_fraction_62	NrOfModifiedSequencesIdentified_SEC_fraction_63	NrOfModifiedSequencesIdentified_SEC_fraction_64	NrOfModifiedSequencesIdentified_SEC_fraction_65	IBAQ_SEC_fraction_47	IBAQ_SEC_fraction_53	IBAQ_SEC_fraction_54	IBAQ_SEC_fraction_55	IBAQ_SEC_fraction_56	IBAQ_SEC_fraction_57	IBAQ_SEC_fraction_58	IBAQ_SEC_fraction_59	IBAQ_SEC_fraction_60	IBAQ_SEC_fraction_61	IBAQ_SEC_fraction_62	IBAQ_SEC_fraction_63	IBAQ_SEC_fraction_64	IBAQ_SEC_fraction_65	IBAQ_norm_SEC_fraction_47	IBAQ_norm_SEC_fraction_53	IBAQ_norm_SEC_fraction_54	IBAQ_norm_SEC_fraction_55	IBAQ_norm_SEC_fraction_56	IBAQ_norm_SEC_fraction_57	IBAQ_norm_SEC_fraction_58	IBAQ_norm_SEC_fraction_59	IBAQ_norm_SEC_fraction_60	IBAQ_norm_SEC_fraction_61	IBAQ_norm_SEC_fraction_62	IBAQ_norm_SEC_fraction_63	IBAQ_norm_SEC_fraction_64	IBAQ_norm_SEC_fraction_65	distribution	signal_peptide 
D4GZV5	Riboflavin kinase	25958.69	20	FALSE	19	20	20	19	15	14	8	5	2	3	1	0	0	0	13851.5	23418.2	15726.4	9890.7	4744.9	1526.1	722.2	397.2	50.3	37.2	5.4	0	0	0	0.591484401	1	0.671546062	0.422350992	0.202615914	0.065167263	0.030839262	0.016961167	0.002147902	0.001588508	0.00023059	0	0	0		
D4GVK4	Sec-independent protein translocase protein TatAo	9582.59	10	FALSE	0	0	4	7	8	10	10	10	10	10	9	8	7	3	0	0	339.2	1065.9	4694.9	11681.5	27813.8	47565.1	52158.7	72323.1	36938.9	24096.2	10333.8	2279.7	0	0	0.004690064	0.01473803	0.064915636	0.161518242	0.384576989	0.657675072	0.721190049	1	0.510748295	0.333174325	0.142883809	0.031521049		
D4GYT6	PHP domain protein	28596.61	19	FALSE	8	19	19	18	17	16	12	9	3	2	1	0	0	0	769.5	16807.8	12217.1	8237.3	4673.9	1580.9	612.1	395.5	168	66.9	25.7	0	0	0	0.045782315	1	0.726870858	0.490087935	0.278079225	0.094057521	0.036417616	0.023530742	0.009995359	0.003980295	0.001529052	0	0	0		
D4GYJ2	Lipoprotein	22250.39	5	FALSE	0	0	1	3	4	5	4	4	4	3	2	0	0	0	0	0	10.7	4324.9	4668.4	2838.3	1808.7	1159.4	616.9	504.3	98.3	0	0	0	0	0	0.002292006	0.926420187	1	0.607981321	0.387434667	0.248350613	0.132143775	0.108024162	0.021056465	0	0	0		Tat/SPII
D4GRD7	Oxidoreductase	20737.49	5	FALSE	5	4	3	5	5	5	4	4	1	0	0	1	0	0	4415.6	1416.1	935.5	4611.7	4607	2082.6	1745	1633.5	826.5	0	0	383.7	0	0	0.95747772	0.307066808	0.202853611	1	0.998980853	0.45159052	0.378385411	0.354207776	0.179218076	0	0	0.083201422	0	0		
D4GRK7	TetR family transcription regulator	22966.75	12	FALSE	12	12	11	11	10	11	9	9	8	8	7	4	3	1	16143.7	7600.7	5458.1	4827	4598.4	2720.4	1708.6	1708.4	1062.8	1450.5	822.4	618.2	353.4	153	1	0.470815241	0.338094737	0.299002088	0.284841765	0.168511556	0.105836952	0.105824563	0.065833731	0.089849291	0.050942473	0.038293576	0.021890892	0.009477381		
D4GV33	Oxidoreductase (Aldo-keto reductase family protein)	32506.05	16	FALSE	15	16	16	16	14	11	5	5	0	0	0	0	0	0	12761.2	22885.9	17751.5	10504.9	4586.9	1350	175.6	432	0	0	0	0	0	0	0.557600968	1	0.775652258	0.459011881	0.200424716	0.058988285	0.007672847	0.018876251	0	0	0	0	0	0		
D4GRQ8	PadR family transcription regulator	10733.03	8	FALSE	0	0	2	6	6	7	8	8	7	6	3	2	1	0	0	0	234.4	1788.7	4584.6	7427.6	14371.2	13545.2	8336.1	6802.6	2176.1	634	47.5	0	0	0	0.016310399	0.124464206	0.319013026	0.516839234	1	0.942523937	0.580055945	0.473349477	0.151420897	0.04411601	0.003305222	0		
D4H0A7	ParA domain protein	32701.46	14	FALSE	14	14	13	14	13	10	11	9	7	5	3	2	1	1	26400	19207.1	10450.9	6819	4520.5	1680.7	1190.7	897.6	569.8	819.7	347.2	295.7	136.6	141	1	0.727541667	0.395867424	0.258295455	0.171231061	0.063662879	0.045102273	0.034	0.021583333	0.031049242	0.013151515	0.011200758	0.005174242	0.005340909		
D4GYE7	HTH-type transcriptional regulator GlpR	27977.49	17	FALSE	17	16	15	14	12	12	8	3	0	0	0	0	0	0	10347.6	10366.9	8934.3	7276.8	4518.7	1606.3	218.3	76.6	0	0	0	0	0	0	0.998138306	1	0.861810184	0.701926323	0.435877649	0.154945066	0.021057404	0.007388901	0	0	0	0	0	0		
D4GZB1	Adenosylhomocysteinase	46624.62	41	FALSE	41	26	20	23	19	16	13	14	6	7	2	1	0	0	68615.6	5670.8	3277.4	6075.9	4427.8	2338.9	4064.2	1584	301.5	523	212.2	164.6	0	0	1	0.082645929	0.047764648	0.088549834	0.064530515	0.034087001	0.059231428	0.023085129	0.004394045	0.007622173	0.003092591	0.002398871	0	0		
D4GYA8	UPF0058 family protein	10341.52	10	FALSE	0	3	4	5	7	6	7	9	9	8	8	7	10	10	0	186.7	545.8	1754.9	4400.7	4407.7	4937.5	11015.3	9739.3	16258	20468.2	33754.4	46460	82538.4	0	0.002261977	0.00661268	0.021261619	0.053317002	0.053401811	0.059820641	0.13345667	0.117997199	0.196974984	0.247983969	0.408953893	0.562889516	1		
D4GUA5	Thioredoxin domain protein	23787.89	7	FALSE	1	7	7	7	7	7	4	2	0	0	0	0	0	0	10.8	4763.6	5429.9	6603.9	4396.8	2652.6	312.7	72.2	0	0	0	0	0	0	0.001635397	0.721331335	0.82222626	1	0.665788398	0.401671739	0.047350808	0.010932934	0	0	0	0	0	0		
D4GTY6	Large ribosomal subunit protein uL14	14234.4	13	FALSE	3	3	3	5	6	12	12	13	13	12	12	12	11	6	224.2	153.6	452.1	1070.6	4393.6	9858.1	31909.9	91221	140871.9	261698.1	201111.2	125922.4	57507.3	28097.9	0.000856712	0.000586936	0.001727563	0.004090974	0.016788811	0.037669742	0.121934015	0.348573413	0.538299285	1	0.768485518	0.4811743	0.219746723	0.107367612		
D4GVR8	HTH domain protein	10751.83	7	FALSE	0	1	1	1	2	4	6	7	6	7	7	7	6	5	0	56.9	241.1	657.6	4374.9	3805.7	8619	27720.1	42065.5	92879.5	82811.2	71720.6	56242	36985.4	0	0.000612622	0.002595837	0.007080141	0.047102967	0.040974596	0.092797657	0.298452296	0.452904032	1	0.891598254	0.772189773	0.605537282	0.398208431		
D4GVP3	Oxidoreductase	28014.56	15	FALSE	15	15	12	14	13	12	8	9	8	7	6	3	1	0	29207.8	8039.7	6092.2	5847.4	4311.3	1661	1071.2	1094.8	584.8	616.2	439.8	266.9	154.8	0	1	0.275258664	0.208581269	0.200199947	0.147607831	0.056868371	0.036675135	0.037483138	0.020022049	0.021097104	0.015057622	0.00913797	0.005299954	0		
D4GTB5	Propionyl-CoA carboxylase biotin carboxylase component	65345.9	34	FALSE	31	33	34	34	31	31	28	29	29	21	19	15	8	5	6248.3	3199.9	3321.4	4050.8	4279.5	2944	2634.1	2885.5	1917.3	2409.6	1833.4	1572.4	592	357.5	1	0.512123298	0.531568587	0.648304339	0.684906295	0.471168158	0.421570667	0.461805611	0.306851464	0.385640894	0.293423811	0.251652449	0.094745771	0.057215563		
D4GUK7	Fe-S cluster assembly complex protein SufB	53247.35	30	FALSE	29	24	23	24	23	21	18	18	14	12	9	8	5	3	14981.9	5677.4	4445.6	5689.6	4180.5	1733	1436.7	3069.1	1245.9	1454.6	1032.8	898.1	427.1	272.8	1	0.3789506	0.296731389	0.379764916	0.279036704	0.115672912	0.095895714	0.204853857	0.083160347	0.097090489	0.068936517	0.059945668	0.028507733	0.018208638		
D4GVS0	Sugar nucleotidyltransferase	35852.56	17	FALSE	17	14	13	10	9	9	4	3	3	1	1	1	0	0	255663	21462.8	10436.4	6533.5	4138.4	2717	646.2	400.2	239.9	322.4	119.1	135.6	0	0	1	0.083949574	0.040820924	0.025555125	0.016186934	0.010627271	0.002527546	0.001565342	0.000938345	0.001261035	0.000465848	0.000530386	0	0		
D4GTI9	Uncharacterized protein	12719.91	4	FALSE	0	0	0	3	2	3	3	4	3	3	3	1	1	1	0	0	0	6854.6	4136.2	1675.2	15711.2	12239.1	9981.3	10169.8	7109.3	828.9	647.7	520.9	0	0	0	0.436287489	0.263264423	0.106624574	1	0.779004786	0.635298386	0.647296196	0.452498854	0.052758542	0.041225368	0.033154692		
D4GUS8	"Fructose-1,6-bisphosphatase class 1"	31339.85	15	FALSE	2	15	15	15	14	13	7	4	0	0	0	0	0	0	38.5	9375.5	10346.4	8029.2	4087.6	1294.7	612.5	206.4	0	0	0	0	0	0	0.003721101	0.906160597	1	0.776038042	0.395074615	0.125135313	0.059199335	0.019948968	0	0	0	0	0	0		
D4GZP5	DNA-(apurinic or apyrimidinic site) lyase	34270.06	23	FALSE	9	23	20	19	17	13	8	3	0	0	0	0	0	0	338.5	18317.4	15376.1	10043.1	4076.7	1309.3	779.5	31.2	0	0	0	0	0	0	0.018479697	1	0.839425901	0.548281961	0.222558878	0.071478485	0.042555166	0.001703299	0	0	0	0	0	0		
D4GT06	4-phosphopantoate--beta-alanine ligase	26560.62	18	FALSE	17	18	18	18	18	14	8	9	2	2	0	0	0	0	3971.8	16526.9	9838.6	7038.3	4012.8	1175.8	218.8	370.2	40.9	83	0	0	0	0	0.240323352	1	0.595308255	0.42586934	0.242804156	0.071144619	0.013239022	0.022399845	0.002474753	0.005022115	0	0	0	0		
D4GXN8	Uncharacterized protein	12277.42	5	FALSE	3	5	5	5	5	5	5	4	0	0	0	0	0	0	51.6	2988.9	2599.8	3729.2	3968.7	2339.1	1681.3	516.3	0	0	0	0	0	0	0.013001739	0.75311815	0.655075969	0.939652783	1	0.589386953	0.423639983	0.130092978	0	0	0	0	0	0		
D4GXD7	AstE domain protein	31367.64	18	FALSE	17	18	18	16	16	13	10	8	6	3	2	0	0	0	28391.6	49163	40021.3	38662.4	3965.6	1496.3	32074.2	486.7	204.4	169	30.8	0	0	0	0.577499339	1	0.814053251	0.786412546	0.080662287	0.03043549	0.652405264	0.009899721	0.004157598	0.003437544	0.000626487	0	0	0		
D4GWY4	DNA-directed RNA polymerase subunit Rpo3	28087.07	21	FALSE	21	17	13	13	12	11	10	9	7	7	7	6	6	4	124450.8	7585.7	4832.8	4356.5	3893.4	2552.2	2109.2	2209.5	1734.3	2143.8	1592.9	1163.5	636.7	711.6	1	0.060953405	0.038833017	0.035005801	0.031284652	0.020507703	0.016948063	0.017754004	0.013935628	0.017226085	0.012799436	0.009349076	0.005116078	0.005717922		
D4GTA0	RnhA operon protein	20854.47	9	FALSE	8	8	8	8	7	6	5	5	3	1	2	0	0	0	10854.8	6337.1	6025.5	5332.1	3770.5	1821.6	655	511.8	213.9	132.7	127.8	0	0	0	1	0.583806242	0.555100048	0.491220474	0.347357851	0.16781516	0.060341969	0.047149648	0.019705568	0.012225006	0.011773593	0	0	0		
D4GP59	Cobalt-factor-III C17-methyltransferase	36369.68	12	FALSE	11	9	10	11	9	10	7	8	5	5	6	4	2	1	31308.7	4087.3	4894	5318.5	3696.7	2308.8	1405.8	2394.1	1224.5	1184	956.4	444.9	185.3	65.8	1	0.130548378	0.156314379	0.169872911	0.118072612	0.073743081	0.044901257	0.076467563	0.039110535	0.037816965	0.03054742	0.014210108	0.005918483	0.002101652		
O07118	tRNA-splicing endonuclease	37417.52	17	FALSE	15	17	16	16	14	12	11	7	2	0	0	0	0	0	4040.8	7063.1	6213.6	6049.4	3673.3	1085.5	414.2	163.1	5.7	0	0	0	0	0	0.572100069	1	0.879727032	0.85647945	0.520069091	0.153686059	0.058642806	0.023091844	0.000807011	0	0	0	0	0		
D4GZ62	DUF964 family protein	13746.04	13	FALSE	13	11	8	10	8	7	7	4	4	1	1	1	0	0	365177.9	8051.8	5196.2	4775.7	3629.7	1937.5	1220.6	510	292.5	16.6	59.3	82.3	0	0	1	0.022048979	0.014229229	0.013077736	0.009939539	0.005305633	0.00334248	0.00139658	0.000800979	4.55E-05	0.000162387	0.00022537	0	0		
D4GV06	FAD-dependent oxidoreductase	50690.15	31	FALSE	31	24	22	22	21	19	18	16	12	12	12	7	5	2	263879.4	4114.9	2629.3	3042.5	3606.5	2178.6	2252.9	1144.9	570.3	896.3	3381.8	550.6	450.3	111.7	1	0.015593866	0.009964021	0.011529888	0.013667228	0.008256044	0.008537612	0.004338724	0.002161215	0.003396627	0.012815703	0.002086559	0.001706461	0.000423299		
D4GPF2	Putative nickel-responsive regulator	16115.08	8	FALSE	8	8	8	8	7	4	3	3	1	1	0	0	0	0	22261	24461.5	14136.4	8544.9	3567.8	879.5	385.2	262.1	13.1	187.9	0	0	0	0	0.910042311	1	0.577904053	0.349320361	0.145853688	0.035954459	0.015747195	0.010714797	0.000535535	0.007681459	0	0	0	0		
D4GWN2	CBS domain protein	42520.82	47	FALSE	47	37	28	24	22	17	14	14	10	9	3	4	1	1	950444.2	25044.4	11217.8	5905.8	3559.1	1537.4	1060.7	1230.4	651.6	682.5	1401.2	352.3	201	267.9	1	0.026350206	0.011802692	0.006213726	0.00374467	0.001617559	0.001116004	0.001294553	0.000685574	0.000718085	0.001474258	0.000370669	0.00021148	0.000281868		
D4GVX0	Uncharacterized protein	26426.67	14	FALSE	0	14	14	14	14	10	9	3	1	0	1	0	0	0	0	5965.1	7408.4	6627.8	3557.7	1339.7	495.9	99.7	20.8	0	8.6	0	0	0	0	0.805180606	1	0.894633119	0.48022515	0.180835268	0.06693753	0.013457697	0.002807624	0	0.001160844	0	0	0		
D4GXW1	GTP-binding protein	43517.07	22	FALSE	22	16	18	15	16	15	13	11	8	8	6	3	3	1	75766.6	4215.7	3024.7	3234.7	3550.8	1704.6	1161.5	1689.1	976.1	1286.7	781.4	364.3	287.8	67.3	1	0.055640612	0.039921285	0.042692954	0.046864977	0.02249804	0.015329974	0.022293464	0.012882985	0.016982417	0.010313251	0.004808187	0.003798508	0.000888254		
D4GZM5	Diadenylate cyclase	28952.82	10	FALSE	10	10	10	10	10	10	10	10	9	9	9	8	7	5	4439.2	1691.7	1886.6	2754.5	3535.7	2372.8	2510	3129.7	2581.5	3159.6	2665	1793.1	1291.3	1243.1	1	0.381082177	0.424986484	0.620494684	0.796472337	0.534510723	0.565417192	0.705014417	0.581523698	0.711749865	0.600333393	0.40392413	0.290885745	0.280027933		
D4GP61	Cobalt-precorrin-5A hydrolase	34502.98	33	FALSE	32	21	21	22	20	16	15	13	12	9	6	4	1	0	211429.7	5255.2	3764.7	3248.2	3529.8	1588.7	1096.5	1663.8	976.9	1570.6	529.2	1207.9	14.1	0	1	0.024855543	0.017805918	0.015363026	0.016694911	0.007514082	0.005186121	0.007869282	0.004620448	0.007428474	0.00250296	0.00571301	6.67E-05	0		
D4GW20	Diaminopimelate epimerase	29905.07	17	FALSE	12	17	17	14	13	8	3	0	1	0	0	0	0	0	1347.2	18269.3	12059.7	6421.2	3504.5	613	271.6	0	7.5	0	0	0	0	0	0.073741194	1	0.660107393	0.351474879	0.191824536	0.033553557	0.01486647	0	0.000410525	0	0	0	0	0		
D4GQ53	Transcriptional coactivator p15 (PC4) C-terminal domain-containing protein	14881.21	12	FALSE	12	11	9	10	10	9	7	4	1	1	0	0	0	0	51642.3	3576.6	3613	3937.3	3469.9	1707.2	775.1	766.4	383.8	822.9	0	0	0	0	1	0.069257179	0.069962027	0.076241763	0.067191043	0.033058171	0.015009014	0.014840547	0.007431892	0.015934612	0	0	0	0		
D4GXN5	Small CPxCG-related zinc finger protein	6912.34	2	FALSE	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1291.4	1447.5	1816.6	2578.9	3397.9	2683.8	3189.2	5692.4	6730.2	17057	23270	21671	12451.9	8025.6	0.055496347	0.062204555	0.07806618	0.110825097	0.146020627	0.115333047	0.137051998	0.244623979	0.289222174	0.733003868	1	0.931284916	0.535105286	0.344890417		
D4GX09	Iron-sulfur cluster carrier protein	36819.58	31	FALSE	31	30	26	24	19	12	9	9	8	7	4	0	0	0	109000.5	32762.6	17190.3	8560.6	3363	1153.3	523.6	431.4	171.2	296.1	60.3	0	0	0	1	0.300572933	0.157708451	0.078537254	0.030853069	0.010580685	0.004803648	0.00395778	0.001570635	0.002716501	0.000553208	0	0	0		
D4GTS3	Oxidoreductase (Short-chain dehydrogenase family)	24785.49	14	FALSE	14	10	10	12	11	8	6	4	3	1	0	0	0	0	74658.7	2998.6	3001.9	3439.9	3311.7	559.5	260	156.5	40.6	67	0	0	0	0	1	0.040164107	0.040208308	0.046075005	0.044357858	0.007494103	0.003482514	0.002096206	0.000543808	0.000897417	0	0	0	0		
D4GZS6	Tfx-type DNA-binding protein	17715.67	18	FALSE	18	10	10	12	13	13	8	6	1	0	0	0	0	0	21536.6	1020.8	1066.4	2389.7	3297.3	2114.8	1395.8	638.8	41.6	0	0	0	0	0	1	0.047398382	0.049515708	0.110959947	0.153102161	0.09819563	0.064810601	0.029661135	0.001931596	0	0	0	0	0		
D4GZ53	ATP phosphoribosyltransferase	32854.84	15	FALSE	12	14	14	14	13	12	8	8	7	5	5	4	1	0	5594.3	8558.4	6008.1	5080.4	3293.2	1249.8	1062.7	1169	992	1036.4	702.1	577	123	0	0.653661899	1	0.702012058	0.593615629	0.38479155	0.146031969	0.124170406	0.136590952	0.115909516	0.121097401	0.082036362	0.067419144	0.014371845	0		
D4GYL4	S-adenosylmethionine-dependent methyltransferase	25581	12	FALSE	12	7	6	6	5	4	5	2	2	0	1	0	0	0	288308.2	4397.4	5186.9	4977.4	3266.1	1471.6	905.7	338.6	214	0	208.8	0	0	0	1	0.015252428	0.017990817	0.017264164	0.011328502	0.00510426	0.00314143	0.001174438	0.000742261	0	0.000724225	0	0	0		
D4GS53	SGNH-type esterase	25180.7	12	FALSE	0	12	12	12	11	11	7	1	0	1	0	0	0	0	0	3622.3	4188.3	4595.8	3258.4	1117	498	46.3	0	648.2	0	0	0	0	0	0.788176161	0.911332086	1	0.70899517	0.243048	0.108359807	0.010074416	0	0.141041821	0	0	0	0		
D4GTP6	NAD-dependent epimerase/dehydratase-like protein	32330.6	23	FALSE	22	23	22	21	19	15	3	2	0	0	0	0	0	0	9041.8	21381.3	10257.3	6234.2	3228.9	885.8	46.2	17.5	0	0	0	0	0	0	0.422883548	1	0.479732289	0.291572542	0.151015139	0.041428725	0.002160767	0.000818472	0	0	0	0	0	0		
D4GV89	UspA domain protein	31601.96	12	FALSE	12	12	11	11	11	11	5	6	4	2	1	0	0	0	6395	12486.5	6154.2	4924	3182.9	1197.8	472	482.6	167.6	201.6	53.4	0	0	0	0.512153125	1	0.492868298	0.394345894	0.2549073	0.095927602	0.037800825	0.038649742	0.013422496	0.016145437	0.004276619	0	0	0		
D4GYS1	Uroporphyrinogen-III synthase	25499.14	9	FALSE	6	9	9	9	8	6	4	1	0	0	0	0	0	0	778.9	20657.3	11720.6	7583.1	3178	949.5	211.9	9.6	0	0	0	0	0	0	0.037705799	1	0.567382959	0.367090568	0.15384392	0.045964381	0.010257875	0.000464727	0	0	0	0	0	0		
D4GWG3	GNAT family acetyltransferase	15880.58	8	FALSE	0	0	1	6	7	8	8	8	7	6	3	1	0	0	0	0	255.8	1301.8	3175	3816.5	4531.9	4401.3	2303	3084.4	436.2	101.9	0	0	0	0	0.056444317	0.287252587	0.700589157	0.842141265	1	0.971182065	0.508175379	0.680597542	0.096251021	0.02248505	0	0		
D4GWP3	Glutaredoxin	8873.82	7	FALSE	5	7	5	7	6	5	6	6	6	6	6	7	7	7	961.7	1717.4	1794.4	2595.9	3170.3	2907.7	3762.4	6491.4	8929.4	28206.8	57570.4	112619.7	142522.5	167425.7	0.00574404	0.010257684	0.01071759	0.015504788	0.018935564	0.017367107	0.022472058	0.038771825	0.053333509	0.168473538	0.343856409	0.672654796	0.8512582	1		
D4GTJ4	rRNA maturation endonuclease Nob1	16809.74	12	FALSE	0	0	5	8	10	12	12	12	12	12	12	8	4	1	0	0	43.5	746.1	3151.3	6632	11308.9	18620.3	17112.4	21801	11293.9	3827	1038.3	51.6	0	0	0.001995321	0.034223201	0.144548415	0.304206229	0.518733086	0.854103023	0.784936471	1	0.518045044	0.175542406	0.047626256	0.002366864		
D4GXQ6	MaoC domain protein	17191.85	7	FALSE	7	7	7	7	6	3	3	2	2	1	1	1	1	0	44701.7	12771.3	10206.2	6162.9	3142.4	1723.7	1399.6	660.8	847.4	311.4	162.6	22.1	61.5	0	1	0.285700544	0.228317939	0.13786724	0.070297103	0.038560055	0.031309771	0.014782436	0.018956773	0.006966178	0.003637446	0.000494388	0.001375787	0		
D4GU26	Tubulin-like protein CetZ5	41499.83	27	FALSE	27	18	17	16	16	13	8	8	8	6	5	2	0	0	57882	3947.9	3546.8	3366.3	3135.6	1369.6	812.5	1045.9	738.2	729.6	499.4	503	0	0	1	0.068206005	0.06127639	0.058157977	0.054172282	0.023661933	0.014037179	0.018069521	0.012753533	0.012604955	0.008627898	0.008690094	0	0		
D4GSI0	Oxidoreductase (Aldo-keto reductase family protein)	36207.87	16	FALSE	16	16	16	16	16	11	5	2	0	0	0	0	0	0	5423.1	12887.4	8325	6115.5	3132.9	807.6	132.6	16.2	0	0	0	0	0	0	0.420806369	1	0.645979794	0.474533265	0.24309791	0.06266586	0.01028912	0.001257042	0	0	0	0	0	0		
D4GVK1	Acetyl-CoA C-acetyltransferase small subunit	13541.69	5	FALSE	0	0	2	4	5	5	5	5	5	4	2	0	0	0	0	0	99.5	1147	3118.9	4948.6	6261	7132.7	4309.8	4089.5	770.8	0	0	0	0	0	0.013949837	0.16080867	0.437267795	0.69379057	0.877788215	1	0.604231217	0.573345297	0.108065669	0	0	0		
D4H023	Glycine cleavage system protein T-like protein	39014.25	19	FALSE	19	19	18	18	17	13	7	6	4	4	2	1	1	0	24184.8	24425	13268.1	7380.6	3071.9	886	220.3	214	96.9	118.1	23.6	4.6	1.3	0	0.990165814	1	0.543218014	0.302174002	0.12576868	0.036274309	0.009019447	0.008761515	0.003967247	0.00483521	0.000966223	0.000188332	5.32E-05	0		
D4GRF9	UspA domain protein	31465.86	17	FALSE	11	16	16	16	14	10	3	1	1	0	0	0	1	0	2088.9	27272.1	13742.4	7917.1	3061.1	711.2	40.7	15.3	8	0	0	0	330.8	0	0.076594762	1	0.50389959	0.290300344	0.112242915	0.026077933	0.001492368	0.000561013	0.00029334	0	0	0	0.012129612	0		
D4GYY1	RIO-type serine/threonine-protein kinase Rio1	33008.45	21	FALSE	19	21	19	20	18	13	8	4	0	0	0	0	0	0	11914.6	24909.6	12317.1	7561.1	3043.7	776.6	198.8	101.8	0	0	0	0	0	0	0.478313582	1	0.494472011	0.303541606	0.122189838	0.031176735	0.007980859	0.004086778	0	0	0	0	0	0		
D4GTZ0	Small ribosomal subunit protein uS3	33444.21	13	FALSE	13	12	10	12	11	10	8	9	9	10	8	7	2	2	7328.4	2637.9	2456.5	2667.4	3023.8	2499.6	1707.9	1912.8	1448.1	1972.1	1195	870.8	268.7	165.5	1	0.359955788	0.335202773	0.363981224	0.41261394	0.341084002	0.233052235	0.261011953	0.197601113	0.269103761	0.163064243	0.118825392	0.036665575	0.022583374		
D4GWZ1	Small ribosomal subunit protein uS11	13438.05	16	FALSE	4	6	7	8	8	12	11	16	16	16	12	8	7	5	378.6	186.9	855.3	1109.9	2973.8	7002.9	14948.2	32209.5	34467.1	51640.8	28817.3	14794.2	5377.9	2430	0.007331412	0.003619231	0.016562485	0.021492696	0.05758625	0.135607891	0.289464919	0.623721941	0.667439312	1	0.55803357	0.286482781	0.104140525	0.047055816		
D4GYW1	Large ribosomal subunit protein eL39	6071.1	3	FALSE	2	2	2	2	2	2	2	2	2	3	3	3	3	3	1983.9	1484.5	2475.2	2350.4	2972.3	1980.5	2476.7	3950.3	3452.3	6215.4	9015.4	12662.2	20218.7	44430.1	0.044652161	0.033412034	0.05570998	0.052901074	0.066898341	0.044575637	0.055743741	0.088910446	0.077701828	0.13989165	0.20291199	0.284991481	0.455067623	1		
D4GYH1	UTP--glucose-1-phosphate uridylyltransferase AglF	27534.94	20	FALSE	20	15	15	14	15	13	11	7	6	6	1	1	0	0	52894.8	3920.8	2945.3	3366.1	2969.2	1572	867.8	586.9	169.8	302.7	20.6	15.2	0	0	1	0.074124489	0.055682222	0.063637635	0.056134062	0.029719367	0.01640615	0.011095609	0.003210145	0.00572268	0.000389452	0.000287363	0	0		
D4GSX7	Oxidoreductase (Aldo-keto reductase family protein)	39865.6	22	FALSE	21	18	16	16	14	12	13	13	8	7	0	1	1	0	412840.5	23832.9	10064.6	5432.8	2968	1288.6	1039.1	988.7	305.3	510.8	0	84.6	75.2	0	1	0.057729075	0.024378907	0.013159562	0.007189217	0.003121302	0.002516953	0.002394872	0.000739511	0.001237282	0	0.000204922	0.000182153	0		
D4GZ77	S-adenosylmethionine synthase	43498.01	42	FALSE	42	28	24	20	22	19	18	18	16	15	12	10	3	1	1024260.5	9657.1	4566.1	3150.8	2933	1429.2	1069.8	1173.7	695.7	1026.5	683.8	566.1	159.3	72.8	1	0.009428363	0.004457948	0.003076171	0.002863529	0.001395348	0.001044461	0.0011459	0.000679222	0.001002186	0.000667604	0.000552691	0.000155527	7.11E-05		
D4H055	Glycoside hydrolase domain protein	75067.06	25	FALSE	22	19	19	19	15	12	8	2	3	1	0	0	0	0	3903.2	14058	10165.3	6002.2	2863.3	951	334.8	74.3	35.7	16.1	0	0	0	0	0.277649737	1	0.723097169	0.426959738	0.203677621	0.067648314	0.023815621	0.005285247	0.002539479	0.001145255	0	0	0	0		
D4GQF1	Cyclase family protein	25530.2	16	FALSE	16	13	13	14	11	11	7	6	1	0	0	0	0	0	41178.9	2850.9	3758.7	3849.7	2850.6	929	270.7	94.6	2.8	0	0	0	0	0	1	0.069232058	0.091277329	0.093487199	0.069224773	0.022560098	0.006573755	0.002297293	6.80E-05	0	0	0	0	0		
D4GXF3	Lrp/AsnC family transcription regulator	17644.74	21	FALSE	21	21	17	12	14	10	10	9	6	3	2	0	0	1	37877.9	14996.9	6603.1	4131.7	2812.4	976.8	644.7	469.3	143.9	204.4	50.5	0	0	127.3	1	0.395927441	0.174325926	0.109079437	0.0742491	0.025788124	0.017020479	0.01238981	0.003799049	0.005396286	0.001333231	0	0	0.003360799		
D4GQL1	Uncharacterized protein	21975.12	8	FALSE	0	7	7	7	7	7	3	2	1	0	0	0	0	0	0	6851.9	7051.9	7444.1	2768.1	1251.4	382.8	136	132.5	0	0	0	0	0	0	0.920447065	0.94731398	1	0.371851533	0.168106286	0.051423275	0.018269502	0.017799331	0	0	0	0	0		
