protein_id,signal_peptide,probability,cleavage_site,cleavage_site_prob
WP_167247046.1@GCF_011734195.1,Sec/SPI,0.997475,27-28,0.823545
WP_167247057.1@GCF_011734195.1,Tat/SPI,0.911322,39-40,0.599437
WP_167247061.1@GCF_011734195.1,Sec/SPI,0.715836,23-24,0.679111
WP_167247090.1@GCF_011734195.1,Tat/SPII,0.999763,32-33,0.839532
WP_167247125.1@GCF_011734195.1,Tat/SPII,0.999934,29-30,0.830902
WP_167247141.1@GCF_011734195.1,Tat/SPII,0.999987,30-31,0.835717
WP_167247335.1@GCF_011734195.1,Tat/SPI,0.975266,57-58,0.881316
WP_167247350.1@GCF_011734195.1,Tat/SPI,0.935141,31-32,0.436911
WP_167247384.1@GCF_011734195.1,Tat/SPI,0.999221,30-31,0.879768
WP_167247386.1@GCF_011734195.1,Tat/SPI,0.999945,31-32,0.910823
WP_167247388.1@GCF_011734195.1,Tat/SPI,0.996781,26-27,0.896148
WP_167247469.1@GCF_011734195.1,Tat/SPII,0.999923,29-30,0.842211
WP_167247530.1@GCF_011734195.1,Sec/SPII,1.000076,22-23,0.994870
WP_167247535.1@GCF_011734195.1,Sec/SPII,1.000059,22-23,0.989822
WP_167247537.1@GCF_011734195.1,Sec/SPII,0.577776,21-22,0.561554
WP_167247539.1@GCF_011734195.1,Tat/SPII,0.998986,28-29,0.836336
WP_167247578.1@GCF_011734195.1,Tat/SPI,0.999680,27-28,0.714096
WP_167247580.1@GCF_011734195.1,Tat/SPI,0.999604,34-35,0.676247
WP_167247587.1@GCF_011734195.1,Tat/SPII,0.998884,24-25,0.857317
WP_167247610.1@GCF_011734195.1,Tat/SPII,0.993585,25-26,0.845300
WP_167247661.1@GCF_011734195.1,Sec/SPI,0.998763,28-29,0.960202
WP_167247671.1@GCF_011734195.1,Tat/SPI,0.947130,34-35,0.590540
WP_208288415.1@GCF_011734195.1,Sec/SPI,0.798536,24-25,0.656081
WP_208288417.1@GCF_011734195.1,Sec/SPI,0.998043,30-31,0.841051
WP_208288436.1@GCF_011734195.1,Sec/SPI,0.982720,19-20,0.922558
WP_208288446.1@GCF_011734195.1,Tat/SPII,0.999844,20-21,0.848181
WP_208288532.1@GCF_011734195.1,Sec/SPI,0.598794,30-31,0.316281
WP_208288565.1@GCF_011734195.1,Sec/SPII,1.000042,12-13,0.985467
WP_208288697.1@GCF_011734195.1,Tat/SPI,0.999911,36-37,0.911622
WP_208288758.1@GCF_011734195.1,Sec/SPI,0.770847,16-17,0.581948
WP_208288817.1@GCF_011734195.1,Sec/SPII,0.999813,15-16,0.978268
WP_208288930.1@GCF_011734195.1,Sec/SPI,0.999062,17-18,0.812424
WP_243837904.1@GCF_011734195.1,Tat/SPII,0.998762,21-22,0.849435
WP_243837909.1@GCF_011734195.1,Sec/SPI,0.881655,22-23,0.777163
WP_243838026.1@GCF_011734195.1,Tat/SPII,0.996671,32-33,0.833793
WP_243838069.1@GCF_011734195.1,Sec/SPI,0.998502,18-19,0.878098
WP_243838087.1@GCF_011734195.1,Tat/SPII,0.999726,20-21,0.843931
WP_243838097.1@GCF_011734195.1,Sec/SPI,0.760426,33-34,0.810727
WP_004048656.1@GCF_013267195.1,Sec/SPI,0.998843,28-29,0.965860
WP_049983678.1@GCF_013267195.1,Tat/SPII,0.998594,24-25,0.843091
WP_049983700.1@GCF_013267195.1,Sec/SPI,0.856736,43-44,0.852544
WP_049983701.1@GCF_013267195.1,Tat/SPII,0.999671,31-32,0.842632
WP_049983708.1@GCF_013267195.1,Tat/SPI,0.649032,34-35,0.513654
WP_049983710.1@GCF_013267195.1,Tat/SPI,0.954895,56-57,0.824007
WP_049983716.1@GCF_013267195.1,Sec/SPI,0.992796,46-47,0.917400
WP_049983717.1@GCF_013267195.1,Sec/SPI,0.977773,25-26,0.948538
WP_049983718.1@GCF_013267195.1,Tat/SPII,0.999794,27-28,0.836579
WP_049986201.1@GCF_013267195.1,Sec/SPI,0.741155,32-33,0.767054
WP_053771563.1@GCF_013267195.1,Sec/SPI,0.921791,30-31,0.870793
WP_053771924.1@GCF_013267195.1,Tat/SPII,0.983652,39-40,0.810438
WP_121561567.1@GCF_013267195.1,Sec/SPI,0.999100,16-17,0.977141
WP_121561820.1@GCF_013267195.1,Tat/SPI,0.999995,29-30,0.920498
WP_121563672.1@GCF_013267195.1,Tat/SPII,0.999464,21-22,0.847138
WP_137694860.1@GCF_013267195.1,Sec/SPI,0.999012,29-30,0.973702
WP_137715549.1@GCF_013267195.1,Tat/SPII,0.999803,25-26,0.849940
WP_137715565.1@GCF_013267195.1,Tat/SPII,0.999959,21-22,0.847639
WP_137715719.1@GCF_013267195.1,Tat/SPII,0.820510,52-53,0.680491
WP_137715899.1@GCF_013267195.1,Tat/SPII,0.999735,31-32,0.826601
WP_137716519.1@GCF_013267195.1,Sec/SPI,0.995836,23-24,0.917589
WP_137716893.1@GCF_013267195.1,Sec/SPI,0.705549,35-36,0.450086
WP_137717155.1@GCF_013267195.1,Tat/SPI,0.729148,31-32,0.601214
WP_137717228.1@GCF_013267195.1,Sec/SPI,0.885686,30-31,0.397151
WP_137717229.1@GCF_013267195.1,Sec/SPI,0.998731,36-37,0.975509
WP_137717660.1@GCF_013267195.1,Sec/SPII,0.988113,20-21,0.971892
WP_173228024.1@GCF_013267195.1,Tat/SPII,0.999049,30-31,0.841104
WP_173228029.1@GCF_013267195.1,Tat/SPII,0.959663,20-21,0.811643
WP_173228094.1@GCF_013267195.1,Sec/SPI,0.997865,23-24,0.849979
WP_173228129.1@GCF_013267195.1,Tat/SPII,0.999934,26-27,0.844112
WP_173228156.1@GCF_013267195.1,Tat/SPII,0.999830,28-29,0.835977
WP_173228174.1@GCF_013267195.1,Sec/SPI,0.997677,29-30,0.966759
WP_173228184.1@GCF_013267195.1,Tat/SPII,0.918050,32-33,0.764267
WP_173228194.1@GCF_013267195.1,Tat/SPII,0.933664,22-23,0.775689
WP_173228202.1@GCF_013267195.1,Sec/SPI,0.999133,27-28,0.437842
WP_173228269.1@GCF_013267195.1,Sec/SPII,1.000052,18-19,0.996819
WP_173228278.1@GCF_013267195.1,Tat/SPII,0.999628,23-24,0.852688
WP_173228279.1@GCF_013267195.1,Tat/SPII,0.999421,20-21,0.847861
WP_173228284.1@GCF_013267195.1,Tat/SPII,0.997867,19-20,0.839298
WP_173228291.1@GCF_013267195.1,Sec/SPI,0.998878,23-24,0.979514
WP_173228294.1@GCF_013267195.1,Sec/SPI,0.805426,22-23,0.709030
WP_173228295.1@GCF_013267195.1,Sec/SPI,0.998491,29-30,0.555235
WP_173228325.1@GCF_013267195.1,Sec/SPI,0.885803,27-28,0.822785
WP_173228331.1@GCF_013267195.1,Sec/SPI,0.485339,24-25,0.351388
WP_173228407.1@GCF_013267195.1,Tat/SPII,0.995447,34-35,0.829772
WP_173228455.1@GCF_013267195.1,Tat/SPI,0.820044,31-32,0.716836
WP_173228467.1@GCF_013267195.1,Tat/SPI,0.999970,34-35,0.897051
WP_173228473.1@GCF_013267195.1,Tat/SPII,0.999788,24-25,0.838485
WP_173228491.1@GCF_013267195.1,Tat/SPI,0.606794,31-32,0.357860
WP_173228510.1@GCF_013267195.1,Tat/SPII,0.996788,29-30,0.847086
WP_173228513.1@GCF_013267195.1,Tat/SPII,0.998765,32-33,0.844236
WP_173228514.1@GCF_013267195.1,Tat/SPII,0.999480,26-27,0.854547
WP_173228515.1@GCF_013267195.1,Tat/SPII,0.998825,31-32,0.848394
WP_173228518.1@GCF_013267195.1,Tat/SPII,0.999075,31-32,0.853218
WP_173228519.1@GCF_013267195.1,Tat/SPII,0.995726,31-32,0.849225
WP_173228543.1@GCF_013267195.1,Tat/SPII,0.999985,25-26,0.843735
WP_173228548.1@GCF_013267195.1,Tat/SPI,0.740439,22-23,0.502640
WP_173228550.1@GCF_013267195.1,Tat/SPII,0.995005,32-33,0.834855
WP_173228551.1@GCF_013267195.1,Tat/SPI,0.950193,32-33,0.442044
WP_173228552.1@GCF_013267195.1,Tat/SPI,0.837718,45-46,0.667698
WP_173228554.1@GCF_013267195.1,Tat/SPI,0.558153,23-24,0.268097
WP_173228556.1@GCF_013267195.1,Sec/SPI,0.999110,19-20,0.978595
WP_173228558.1@GCF_013267195.1,Sec/SPI,0.994170,32-33,0.944292
WP_173228612.1@GCF_013267195.1,Tat/SPII,0.998994,27-28,0.839048
WP_173228675.1@GCF_013267195.1,Tat/SPII,0.999842,31-32,0.840751
WP_173228708.1@GCF_013267195.1,Sec/SPI,0.994830,20-21,0.951168
WP_173228710.1@GCF_013267195.1,Sec/SPI,0.992584,25-26,0.882329
WP_173228720.1@GCF_013267195.1,Tat/SPII,0.999824,24-25,0.840701
WP_173228759.1@GCF_013267195.1,Tat/SPI,0.999969,28-29,0.913391
WP_173228812.1@GCF_013267195.1,Tat/SPII,0.789948,31-32,0.670628
WP_173228816.1@GCF_013267195.1,Tat/SPII,0.999573,28-29,0.848860
WP_173228890.1@GCF_013267195.1,Sec/SPI,0.998656,36-37,0.967549
WP_173228956.1@GCF_013267195.1,Tat/SPII,0.652174,55-56,0.537081
WP_173229031.1@GCF_013267195.1,Sec/SPI,0.998766,24-25,0.959704
WP_173229041.1@GCF_013267195.1,Sec/SPI,0.737941,25-26,0.648655
WP_173229043.1@GCF_013267195.1,Sec/SPI,0.666581,46-47,0.596620
WP_173229108.1@GCF_013267195.1,Tat/SPII,0.997350,33-34,0.843970
WP_173229167.1@GCF_013267195.1,Tat/SPII,0.880028,20-21,0.740906
WP_173229193.1@GCF_013267195.1,Tat/SPI,0.996140,38-39,0.560231
WP_173229195.1@GCF_013267195.1,Tat/SPI,0.975206,35-36,0.582659
WP_173229197.1@GCF_013267195.1,Tat/SPI,0.998696,39-40,0.589612
WP_173229199.1@GCF_013267195.1,Tat/SPI,0.995330,30-31,0.870879
WP_173229201.1@GCF_013267195.1,Tat/SPI,0.965758,41-42,0.337119
WP_173229203.1@GCF_013267195.1,Sec/SPI,0.845827,33-34,0.810950
WP_173229216.1@GCF_013267195.1,Tat/SPII,0.970950,22-23,0.812471
WP_173229218.1@GCF_013267195.1,Sec/SPI,0.942943,25-26,0.846587
WP_173229227.1@GCF_013267195.1,Tat/SPII,0.999786,28-29,0.847621
WP_173229240.1@GCF_013267195.1,Sec/SPI,0.999085,24-25,0.972307
WP_173229254.1@GCF_013267195.1,Tat/SPI,0.999914,46-47,0.877937
WP_173229440.1@GCF_013267195.1,Tat/SPII,0.992870,35-36,0.827316
WP_173229442.1@GCF_013267195.1,Tat/SPII,0.608804,38-39,0.499323
WP_173229474.1@GCF_013267195.1,Tat/SPII,0.999749,30-31,0.847311
WP_173229512.1@GCF_013267195.1,Sec/SPII,0.970601,17-18,0.900640
WP_173229527.1@GCF_013267195.1,Sec/SPI,0.763282,19-20,0.650856
WP_173229536.1@GCF_013267195.1,Sec/SPI,0.999048,24-25,0.973569
WP_173229598.1@GCF_013267195.1,Tat/SPII,0.999775,23-24,0.848818
WP_173229613.1@GCF_013267195.1,Sec/SPI,0.994888,25-26,0.623097
WP_173229623.1@GCF_013267195.1,Tat/SPII,0.999809,27-28,0.843155
WP_173229680.1@GCF_013267195.1,Sec/SPI,0.878321,28-29,0.847705
WP_173229688.1@GCF_013267195.1,Sec/SPI,0.939178,30-31,0.907646
WP_173229690.1@GCF_013267195.1,Tat/SPI,0.998356,26-27,0.734389
WP_173229754.1@GCF_013267195.1,Tat/SPII,0.999951,31-32,0.830703
WP_173229854.1@GCF_013267195.1,Tat/SPI,0.899540,35-36,0.481907
WP_173229856.1@GCF_013267195.1,Sec/SPI,0.971454,24-25,0.930525
WP_173229876.1@GCF_013267195.1,Sec/SPI,0.998280,35-36,0.968960
WP_173229888.1@GCF_013267195.1,Tat/SPII,0.997282,22-23,0.837599
WP_173229896.1@GCF_013267195.1,Tat/SPII,0.997607,22-23,0.841014
WP_173229931.1@GCF_013267195.1,Tat/SPII,0.999879,27-28,0.841526
WP_173229934.1@GCF_013267195.1,Tat/SPII,0.998153,28-29,0.840127
WP_173229972.1@GCF_013267195.1,Tat/SPII,0.999422,25-26,0.850143
WP_173229973.1@GCF_013267195.1,Tat/SPII,0.893638,22-23,0.752407
WP_173229983.1@GCF_013267195.1,Tat/SPII,0.999805,22-23,0.843887
WP_173229990.1@GCF_013267195.1,Sec/SPI,0.997839,27-28,0.916448
WP_173230006.1@GCF_013267195.1,Tat/SPII,0.886693,48-49,0.742182
WP_173230025.1@GCF_013267195.1,Sec/SPI,0.999102,26-27,0.951836
WP_173230037.1@GCF_013267195.1,Tat/SPII,0.997762,21-22,0.830035
WP_173230038.1@GCF_013267195.1,Tat/SPII,0.999849,24-25,0.848361
WP_173230043.1@GCF_013267195.1,Sec/SPII,1.000079,20-21,0.990404
WP_173230056.1@GCF_013267195.1,Sec/SPI,0.997845,29-30,0.947829
WP_173230062.1@GCF_013267195.1,Tat/SPII,0.739021,20-21,0.622883
WP_173230073.1@GCF_013267195.1,Tat/SPII,0.999922,25-26,0.850163
WP_173230078.1@GCF_013267195.1,Sec/SPI,0.738684,43-44,0.394384
WP_173230133.1@GCF_013267195.1,Sec/SPII,1.000081,19-20,0.994179
WP_173230142.1@GCF_013267195.1,Sec/SPI,0.873256,26-27,0.812641
WP_173230147.1@GCF_013267195.1,Sec/SPII,1.000042,21-22,0.991285
WP_173230153.1@GCF_013267195.1,Tat/SPI,0.980665,23-24,0.562449
WP_173230154.1@GCF_013267195.1,Tat/SPII,0.999993,24-25,0.849460
WP_173230166.1@GCF_013267195.1,Tat/SPII,0.999656,27-28,0.850118
WP_173230190.1@GCF_013267195.1,Tat/SPII,0.829856,20-21,0.691629
WP_173230204.1@GCF_013267195.1,Tat/SPII,0.999234,30-31,0.836233
WP_173230207.1@GCF_013267195.1,Tat/SPII,0.573801,20-21,0.482178
WP_173230234.1@GCF_013267195.1,Sec/SPI,0.766498,29-30,0.365415
WP_173230251.1@GCF_013267195.1,Tat/SPI,0.971733,27-28,0.557145
WP_173230373.1@GCF_013267195.1,Tat/SPII,0.999955,28-29,0.842568
WP_173230402.1@GCF_013267195.1,Sec/SPII,0.884374,18-19,0.861915
WP_173230418.1@GCF_013267195.1,Tat/SPII,0.971351,20-21,0.821288
WP_173230421.1@GCF_013267195.1,Sec/SPI,0.998682,34-35,0.970787
WP_173230422.1@GCF_013267195.1,Tat/SPII,0.986361,36-37,0.819201
WP_173230425.1@GCF_013267195.1,Tat/SPII,0.819872,23-24,0.658923
WP_173230431.1@GCF_013267195.1,Sec/SPI,0.998920,29-30,0.718402
WP_173230432.1@GCF_013267195.1,Tat/SPII,0.999628,32-33,0.841629
WP_173230474.1@GCF_013267195.1,Tat/SPII,0.999718,27-28,0.836812
WP_173230478.1@GCF_013267195.1,Tat/SPI,0.999992,27-28,0.933903
WP_173230482.1@GCF_013267195.1,Tat/SPI,0.999799,43-44,0.894427
WP_173230484.1@GCF_013267195.1,Tat/SPII,0.866634,21-22,0.726746
WP_173230501.1@GCF_013267195.1,Sec/SPI,0.476383,36-37,0.247736
WP_173230509.1@GCF_013267195.1,Tat/SPI,0.993575,31-32,0.894120
WP_173230513.1@GCF_013267195.1,Tat/SPII,0.483424,20-21,0.383209
WP_173230520.1@GCF_013267195.1,Tat/SPII,0.996351,25-26,0.830285
WP_173230527.1@GCF_013267195.1,Sec/SPII,0.512401,24-25,0.497890
WP_173230528.1@GCF_013267195.1,Tat/SPII,0.999899,22-23,0.842355
WP_173230549.1@GCF_013267195.1,Tat/SPII,0.999850,22-23,0.842992
WP_173230583.1@GCF_013267195.1,Tat/SPII,0.907333,20-21,0.732999
WP_173230593.1@GCF_013267195.1,Sec/SPI,0.998344,37-38,0.961250
WP_173230599.1@GCF_013267195.1,Sec/SPI,0.703698,30-31,0.666970
WP_173230625.1@GCF_013267195.1,Tat/SPI,0.988143,40-41,0.854941
WP_173230632.1@GCF_013267195.1,Sec/SPI,0.683015,37-38,0.592725
WP_173230715.1@GCF_013267195.1,Tat/SPII,0.999653,24-25,0.846943
WP_173230731.1@GCF_013267195.1,Tat/SPII,0.999938,27-28,0.850001
WP_173230754.1@GCF_013267195.1,Sec/SPI,0.701660,26-27,0.620620
WP_173230785.1@GCF_013267195.1,Sec/SPI,0.998587,24-25,0.761288
WP_173230798.1@GCF_013267195.1,Sec/SPI,0.980532,22-23,0.493046
WP_173230813.1@GCF_013267195.1,Tat/SPII,0.998665,20-21,0.858142
WP_173230824.1@GCF_013267195.1,Sec/SPI,0.595706,23-24,0.590058
WP_173230843.1@GCF_013267195.1,Sec/SPII,1.000040,15-16,0.991013
WP_173230845.1@GCF_013267195.1,Tat/SPII,0.999932,26-27,0.842896
WP_173230857.1@GCF_013267195.1,Tat/SPII,0.511163,22-23,0.429979
WP_173230863.1@GCF_013267195.1,Tat/SPII,0.999911,27-28,0.837425
WP_173230867.1@GCF_013267195.1,Tat/SPII,0.497731,62-63,0.398270
WP_173230868.1@GCF_013267195.1,Tat/SPI,0.533261,48-49,0.314501
WP_173230893.1@GCF_013267195.1,Tat/SPII,0.856911,29-30,0.718244
WP_173230902.1@GCF_013267195.1,Tat/SPII,0.959702,24-25,0.815377
WP_173230926.1@GCF_013267195.1,Sec/SPI,0.998997,28-29,0.932643
WP_173230927.1@GCF_013267195.1,Sec/SPI,0.662442,31-32,0.476315
WP_173230972.1@GCF_013267195.1,Tat/SPII,0.998267,24-25,0.848636
WP_227262414.1@GCF_013267195.1,Tat/SPI,0.948681,60-61,0.796248
WP_235681701.1@GCF_013267195.1,Tat/SPII,0.885865,38-39,0.733986
WP_235681713.1@GCF_013267195.1,Tat/SPII,0.999873,30-31,0.844820
WP_235681719.1@GCF_013267195.1,Tat/SPII,0.994533,26-27,0.834390
WP_235681721.1@GCF_013267195.1,Tat/SPI,0.890327,31-32,0.773029
WP_235681728.1@GCF_013267195.1,Tat/SPII,0.999932,23-24,0.844991
WP_235681733.1@GCF_013267195.1,Sec/SPI,0.924320,21-22,0.728535
WP_235681736.1@GCF_013267195.1,Sec/SPI,0.999219,17-18,0.979559
WP_235681737.1@GCF_013267195.1,Sec/SPI,0.681157,39-40,0.696028
WP_235681743.1@GCF_013267195.1,Tat/SPII,0.990524,40-41,0.811672
WP_235681744.1@GCF_013267195.1,Tat/SPII,0.999917,26-27,0.849271
WP_174678808.1@GCF_013342145.1,Tat/SPI,0.998176,42-43,0.907071
WP_174678811.1@GCF_013342145.1,Tat/SPI,0.999978,35-36,0.920098
WP_174678841.1@GCF_013342145.1,Tat/SPI,0.999996,29-30,0.704738
WP_174678851.1@GCF_013342145.1,Tat/SPI,0.999803,36-37,0.463244
WP_174679024.1@GCF_013342145.1,Tat/SPI,0.998294,27-28,0.671046
WP_174679039.1@GCF_013342145.1,Tat/SPI,0.812214,46-47,0.441151
WP_174679074.1@GCF_013342145.1,Tat/SPII,0.998735,25-26,0.841482
WP_174679087.1@GCF_013342145.1,Tat/SPII,0.999852,21-22,0.850599
WP_174679091.1@GCF_013342145.1,Tat/SPI,0.999957,35-36,0.884371
WP_174679148.1@GCF_013342145.1,Sec/SPI,0.717605,24-25,0.672994
WP_174679153.1@GCF_013342145.1,Sec/SPII,1.000036,20-21,0.985838
WP_174679183.1@GCF_013342145.1,Tat/SPII,0.999653,28-29,0.835457
WP_174679189.1@GCF_013342145.1,Tat/SPII,0.910155,24-25,0.764842
WP_174679190.1@GCF_013342145.1,Sec/SPI,0.597182,42-43,0.432195
WP_174679199.1@GCF_013342145.1,Tat/SPI,0.998519,47-48,0.892430
WP_174679229.1@GCF_013342145.1,Tat/SPI,0.856956,45-46,0.428174
WP_174679231.1@GCF_013342145.1,Tat/SPI,0.977986,50-51,0.846930
WP_174679269.1@GCF_013342145.1,Tat/SPII,0.996457,24-25,0.844919
WP_174679275.1@GCF_013342145.1,Tat/SPII,0.922141,46-47,0.762780
WP_174679284.1@GCF_013342145.1,Tat/SPII,0.999347,24-25,0.842178
WP_174679285.1@GCF_013342145.1,Tat/SPII,0.978141,24-25,0.817430
WP_174679291.1@GCF_013342145.1,Tat/SPII,0.999945,28-29,0.850264
WP_174679292.1@GCF_013342145.1,Tat/SPII,0.999915,28-29,0.851450
WP_174679301.1@GCF_013342145.1,Tat/SPI,0.999930,30-31,0.745994
WP_174679335.1@GCF_013342145.1,Tat/SPII,0.810261,20-21,0.690242
WP_174679349.1@GCF_013342145.1,Tat/SPII,0.862655,20-21,0.720621
WP_174679353.1@GCF_013342145.1,Sec/SPI,0.997635,27-28,0.960246
WP_174679354.1@GCF_013342145.1,Sec/SPI,0.548307,24-25,0.366810
WP_174679355.1@GCF_013342145.1,Tat/SPII,0.990256,20-21,0.824889
WP_174679363.1@GCF_013342145.1,Tat/SPI,0.981259,29-30,0.686236
WP_174679367.1@GCF_013342145.1,Tat/SPI,0.995058,53-54,0.884398
WP_174679372.1@GCF_013342145.1,Tat/SPI,0.907539,42-43,0.748588
WP_174679384.1@GCF_013342145.1,Tat/SPI,0.619180,38-39,0.515920
WP_174679389.1@GCF_013342145.1,Tat/SPII,0.986647,39-40,0.814552
WP_174679390.1@GCF_013342145.1,Tat/SPII,0.928655,24-25,0.786995
WP_174679420.1@GCF_013342145.1,Tat/SPII,0.948211,37-38,0.796480
WP_174679428.1@GCF_013342145.1,Tat/SPI,0.995974,30-31,0.886715
WP_174679449.1@GCF_013342145.1,Tat/SPII,0.998938,30-31,0.838442
WP_174679470.1@GCF_013342145.1,Sec/SPI,0.562451,31-32,0.505976
WP_174679491.1@GCF_013342145.1,Tat/SPI,0.994010,39-40,0.744448
WP_174679517.1@GCF_013342145.1,Tat/SPII,0.776987,22-23,0.654562
WP_174679523.1@GCF_013342145.1,Tat/SPII,0.999916,22-23,0.851063
WP_174679614.1@GCF_013342145.1,Tat/SPI,0.986905,58-59,0.857646
WP_174679624.1@GCF_013342145.1,Sec/SPI,0.996425,27-28,0.966015
WP_174679625.1@GCF_013342145.1,Sec/SPI,0.998368,25-26,0.966656
WP_174679626.1@GCF_013342145.1,Sec/SPI,0.993848,25-26,0.950073
WP_174679648.1@GCF_013342145.1,Sec/SPI,0.968610,31-32,0.918688
WP_174679650.1@GCF_013342145.1,Tat/SPI,0.985498,56-57,0.788107
WP_174679711.1@GCF_013342145.1,Tat/SPI,0.787395,27-28,0.674065
WP_174679762.1@GCF_013342145.1,Tat/SPI,0.947516,27-28,0.601990
WP_174679764.1@GCF_013342145.1,Tat/SPII,0.998945,27-28,0.851402
WP_174679767.1@GCF_013342145.1,Tat/SPI,0.999985,27-28,0.920161
WP_174679809.1@GCF_013342145.1,Tat/SPI,0.991301,41-42,0.882463
WP_174679810.1@GCF_013342145.1,Tat/SPI,0.910987,40-41,0.723923
WP_174679818.1@GCF_013342145.1,Sec/SPI,0.981040,22-23,0.932529
WP_174679863.1@GCF_013342145.1,Tat/SPI,0.953213,50-51,0.831328
WP_174679869.1@GCF_013342145.1,Tat/SPII,0.893907,23-24,0.727700
WP_174679872.1@GCF_013342145.1,Tat/SPII,0.998735,31-32,0.844435
WP_174679905.1@GCF_013342145.1,Tat/SPII,0.729519,20-21,0.605242
WP_174679914.1@GCF_013342145.1,Tat/SPI,0.924586,33-34,0.730514
WP_174679918.1@GCF_013342145.1,Tat/SPII,0.997081,25-26,0.850777
WP_174679978.1@GCF_013342145.1,Tat/SPI,0.998345,34-35,0.906968
WP_174679982.1@GCF_013342145.1,Sec/SPI,0.703893,28-29,0.795665
WP_174679996.1@GCF_013342145.1,Tat/SPII,0.998897,36-37,0.795697
WP_174680015.1@GCF_013342145.1,Tat/SPI,0.999963,30-31,0.915637
WP_174680023.1@GCF_013342145.1,Tat/SPII,0.983014,20-21,0.828066
WP_174680048.1@GCF_013342145.1,Tat/SPI,0.999096,39-40,0.809831
WP_174680060.1@GCF_013342145.1,Tat/SPII,0.998844,26-27,0.844889
WP_174680061.1@GCF_013342145.1,Tat/SPII,0.997405,25-26,0.841319
WP_174680069.1@GCF_013342145.1,Tat/SPII,0.994391,29-30,0.831312
WP_174680070.1@GCF_013342145.1,Tat/SPII,0.997592,25-26,0.839624
WP_174680071.1@GCF_013342145.1,Sec/SPI,0.988369,36-37,0.937051
WP_174680090.1@GCF_013342145.1,Tat/SPII,0.661323,20-21,0.504573
WP_174680106.1@GCF_013342145.1,Tat/SPII,0.999801,24-25,0.845658
WP_174680122.1@GCF_013342145.1,Tat/SPII,0.981714,31-32,0.830350
WP_174680150.1@GCF_013342145.1,Tat/SPII,0.999948,25-26,0.853424
WP_174680168.1@GCF_013342145.1,Tat/SPI,0.998587,30-31,0.911247
WP_174680173.1@GCF_013342145.1,Tat/SPII,0.931892,22-23,0.789111
WP_174680191.1@GCF_013342145.1,Tat/SPII,0.563645,40-41,0.428856
WP_174680195.1@GCF_013342145.1,Tat/SPI,0.682285,39-40,0.320342
WP_174680198.1@GCF_013342145.1,Sec/SPI,0.993853,18-19,0.945929
WP_174680208.1@GCF_013342145.1,Tat/SPII,0.541876,23-24,0.343736
WP_174680271.1@GCF_013342145.1,Tat/SPII,0.999789,25-26,0.846500
WP_174680289.1@GCF_013342145.1,Tat/SPII,0.994215,23-24,0.845398
WP_174680303.1@GCF_013342145.1,Tat/SPII,0.999863,24-25,0.851489
WP_174680324.1@GCF_013342145.1,Tat/SPII,0.974569,20-21,0.829772
WP_174680342.1@GCF_013342145.1,Sec/SPII,0.822391,20-21,0.797336
WP_174680360.1@GCF_013342145.1,Tat/SPI,0.999705,41-42,0.763231
WP_174680365.1@GCF_013342145.1,Tat/SPI,0.999988,31-32,0.903032
WP_174680371.1@GCF_013342145.1,Tat/SPII,0.784256,28-29,0.648617
WP_174680375.1@GCF_013342145.1,Tat/SPII,0.940347,22-23,0.775065
WP_174680383.1@GCF_013342145.1,Tat/SPII,0.976178,19-20,0.837806
WP_174680389.1@GCF_013342145.1,Sec/SPII,0.798179,19-20,0.778024
WP_174680396.1@GCF_013342145.1,Tat/SPII,0.968826,31-32,0.820995
WP_174680403.1@GCF_013342145.1,Sec/SPI,0.590694,42-43,0.540890
WP_174680405.1@GCF_013342145.1,Tat/SPII,0.996759,37-38,0.824906
WP_174680410.1@GCF_013342145.1,Tat/SPII,0.820460,21-22,0.703347
WP_174680412.1@GCF_013342145.1,Tat/SPI,0.869917,35-36,0.768648
WP_174680413.1@GCF_013342145.1,Sec/SPI,0.993070,19-20,0.948212
WP_174680421.1@GCF_013342145.1,Tat/SPII,0.952037,38-39,0.799179
WP_174680422.1@GCF_013342145.1,Tat/SPI,0.999180,35-36,0.840461
WP_174680424.1@GCF_013342145.1,Sec/SPI,0.999142,28-29,0.974535
WP_174680541.1@GCF_013342145.1,Sec/SPII,0.998694,18-19,0.989577
WP_174680544.1@GCF_013342145.1,Tat/SPI,0.999667,33-34,0.901394
WP_174680546.1@GCF_013342145.1,Tat/SPII,0.933359,24-25,0.780691
WP_174680600.1@GCF_013342145.1,Tat/SPII,0.614410,27-28,0.501927
WP_174680605.1@GCF_013342145.1,Tat/SPII,0.786034,39-40,0.641252
WP_174680645.1@GCF_013342145.1,Sec/SPII,0.911306,23-24,0.857147
WP_174680676.1@GCF_013342145.1,Tat/SPI,0.865005,38-39,0.761190
WP_174680678.1@GCF_013342145.1,Sec/SPI,0.769851,30-31,0.565163
WP_174680721.1@GCF_013342145.1,Sec/SPI,0.976770,25-26,0.698182
WP_174680730.1@GCF_013342145.1,Tat/SPI,0.998948,30-31,0.862488
WP_174680736.1@GCF_013342145.1,Tat/SPII,0.998231,27-28,0.836945
WP_174680741.1@GCF_013342145.1,Tat/SPII,0.733110,20-21,0.612471
WP_174680745.1@GCF_013342145.1,Sec/SPI,0.921405,23-24,0.883143
WP_174680746.1@GCF_013342145.1,Tat/SPI,0.999773,38-39,0.620924
