query_organism,query_accession,query_protein_id,query_pfam_domain,query_start,query_end,target_accession,target_protein_id,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_organism_name,rank_sequence,rank_structure,average_rank
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_003243425.1,PZR14524.1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Archangium_A,Archangium_A gephyra_A,Archangium gephyra,73,104,88.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_001428505.1,WP_056755282.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Terrabacter,Terrabacter sp001428505,Terrabacter sp. Root181,114,70,92
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_015690355.1,WP_196194251.1,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus fuscans,Streptacidiphilus fuscans,141,82,111.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_001921205.1,WP_075129373.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinophytocola,Actinophytocola xanthii,Actinophytocola xanthii,137,89,113
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_900163565.1,WP_234988606.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Agrococcus,Agrococcus casei,Agrococcus casei LMG 22410,146,105,125.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_004341035.1,WP_132744201.1,Bacteria,Bacillota,Bacilli,Bacillales_K,Sporolactobacillaceae,Scopulibacillus,Scopulibacillus darangshiensis,Scopulibacillus darangshiensis,207,62,134.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_001829125.1,OHD14707.1,Bacteria,Spirochaetota,GWE2-31-10,GWE2-31-10,GWE2-31-10,GWC1-27-15,GWC1-27-15 sp001829125,Spirochaetes bacterium GWB1_27_13,149,125,137
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_023418575.1,JAEZZM010000048.1_5,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,JAEZZM01,JAEZZM01,JAEZZM01 sp023418575,Actinomycetia bacterium,251,31,141
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_000383675.1,WP_020141963.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Terrabacter,Terrabacter sp000383675,Terracoccus sp. 273MFTsu3.1,121,164,142.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_012933365.1,WP_169101071.1,Bacteria,Bacillota_E,Sulfobacillia,Sulfobacillales,Sulfobacillaceae,Sulfobacillus_B,Sulfobacillus_B sp012933365,Sulfobacillus sp. DSM 109850,62,224,143
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_013361525.1,NUP10217.1,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,CAITIQ01,CAITIQ01 sp013361525,Polyangiaceae bacterium,235,56,145.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_002159075.1,OUM84167.1,Bacteria,Bacillota,Bacilli,Bacillales_F,Bacillaceae_M,Bacillus_BB,Bacillus_BB thermozeamaize,Bacillus thermozeamaize,172,130,151
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_016495725.1,WP_142090503.1,Bacteria,Bacillota,Bacilli,Bacillales_H,Marinococcaceae,Salicibibacter,Salicibibacter cibarius,Salicibibacter cibarius,176,131,153.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_003344635.1,WP_114560189.1,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Desertihabitans,Desertihabitans aurantiacus,Desertihabitans aurantiacus,285,28,156.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_016495865.1,WP_200090222.1,Bacteria,Bacillota,Bacilli,Bacillales_H,Marinococcaceae,Salicibibacter,Salicibibacter cibi,Salicibibacter cibi,279,35,157
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_003165295.1,PLTC01000121.1_29,Bacteria,Pseudomonadota,Alphaproteobacteria,Azospirillales,Azospirillaceae,BOG-933,BOG-933 sp003165295,Rhodospirillales bacterium,298,34,166
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_002070605.1,OQB68071.1,Bacteria,Spirochaetota,GWE2-31-10,GWE2-31-10,GWE2-31-10,MWDO01,MWDO01 sp002070605,Spirochaetes bacterium ADurb.Bin133,264,72,168
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_002563635.1,WP_098445066.1,Bacteria,Bacillota,Bacilli,Bacillales_G,HB172195,Anaerobacillus_A,Anaerobacillus_A sp002563635,Bacillus sp. es.036,110,235,172.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_001485435.1,WP_058976774.1,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus grandis,Deinococcus grandis,246,102,174
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_003752005.1,WP_123747345.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinosynnema,Actinosynnema texasense,Saccharothrix texasensis,117,237,177
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_001429185.1,WP_056827348.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Terrabacter,Terrabacter sp001429185,Terrabacter sp. Root85,214,147,180.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_020165985.1,WP_224596529.1,Bacteria,Bacillota,Bacilli,Bacillales_G,HB172195,Anaerobacillus_A,Anaerobacillus_A sp020165985,Bacillus sp. RAR_GA_16,255,115,185
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_000018565.1,ABX07820.1,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon aurantiacus,Herpetosiphon aurantiacus DSM 785,333,43,188
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_000166415.1,WP_013406021.1,Bacteria,Bacillota_F,Halanaerobiia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,Halanaerobium hydrogeniformans,Halanaerobium hydrogeniformans,321,57,189
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_012911975.1,WP_169613543.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Nodosilinea,Nodosilinea sp003564835,Nodosilinea sp. P-1105,339,44,191.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_900103535.1,WP_245675166.1,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Megasphaeraceae,Megasphaera_A,Megasphaera_A paucivorans,Megasphaera paucivorans,370,16,193
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_001921215.1,WP_075137548.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinophytocola,Actinophytocola xinjiangensis,Actinophytocola xinjiangensis,290,99,194.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_016786325.1,WP_203000877.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Frankiaceae,Frankia,Frankia sp016786325,Frankia sp. CN7,372,23,197.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_006715045.1,WP_142003099.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Amycolatopsis_D,Amycolatopsis_D cihanbeyliensis,Amycolatopsis cihanbeyliensis,249,148,198.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_014203735.1,WP_221463286.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinophytocola,Actinophytocola algeriensis,Actinophytocola algeriensis,136,263,199.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_012735535.1,NLY55524.1,Bacteria,Bacillota_G,UBA5301,UBA5301,UBA5301,JAAYHC01,JAAYHC01 sp012735535,Firmicutes bacterium,366,37,201.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_014384795.1,WP_249316483.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,NSJ-53,Gehongia,Gehongia tenuis,Gehongia tenuis,323,81,202
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_024519435.1,WP_256795913.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Terrabacter,Terrabacter sp024519435,Terrabacter sp. Ter38,225,187,206
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_003336365.1,WP_114374081.1,Bacteria,Bacillota,Bacilli,Bacillales_H,Marinococcaceae,Salicibibacter,Salicibibacter kimchii,Salicibibacter kimchii,259,158,208.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_015910535.1,WP_197319873.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Saccharomonospora,Saccharomonospora sp015910535,Saccharomonospora sp. NB11,281,136,208.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_000154825.1,WP_007049548.1,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Anaerofustaceae,Anaerofustis,Anaerofustis stercorihominis,Anaerofustis stercorihominis DSM 17244,375,61,218
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_002250565.1,WP_094456106.1,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Parenemella,Parenemella sanctibonifatiensis,Parenemella sanctibonifatiensis,208,233,220.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_014384795.1,WP_249317375.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,NSJ-53,Gehongia,Gehongia tenuis,Gehongia tenuis,373,77,225
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_014642895.1,GGB40616.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Virgibacillus_E,Virgibacillus_E populi,Lentibacillus populi,336,123,229.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_014897585.1,WP_193117838.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermabacteraceae,Brachybacterium,Brachybacterium tyrofermentans,Brachybacterium tyrofermentans,443,24,233.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_023422005.1,JAEZSC010000157.1_8,Bacteria,Bacillota_A,Clostridia,Christensenellales,UMGS416,JAEYRA01,JAEYRA01 sp023422005,Firmicutes bacterium,262,208,235
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_006740705.1,WP_142090503.1,Bacteria,Bacillota,Bacilli,Bacillales_H,Marinococcaceae,Salicibibacter,Salicibibacter halophilus,Salicibibacter halophilus,175,295,235
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_014207655.1,WP_184403661.1,Bacteria,Bacillota,Bacilli,Bacillales_H,Marinococcaceae,Geomicrobium,Geomicrobium halophilum,Geomicrobium halophilum,260,212,236
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_905193725.1,CAJJPW010000136.1_4,Bacteria,Bacillota_A,Clostridia,Christensenellales,Christensenellaceae,CAJJPW01,CAJJPW01 sp905193725,uncultured Eubacteriales bacterium,352,128,240
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_014831675.1,WP_191762022.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Komarekiella,Komarekiella sp014831675,Komarekiella sp. 'clone 1',402,83,242.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_012798955.1,NMB25494.1,Bacteria,Bacillota_G,Limnochordia,DTU087,DTU087,JAAZMF01,JAAZMF01 sp012798955,Firmicutes bacterium,434,65,249.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_009996845.1,WP_161920281.1,Bacteria,Bacillota,Bacilli,Bacillales,Caldibacillaceae,RUG14133,RUG14133 sp009996845,Caldibacillus pasinlerensis,269,232,250.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_001956915.1,WP_083707311.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Monashia,Monashia flava,Intrasporangium flavum,295,219,257
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_944366945.1,CALVWJ010000022.1_5,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-138,UBA1685,UBA1685 sp944366945,uncultured Clostridia bacterium,322,195,258.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_001766835.1,WP_084633794.1,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium wieringae,Acetobacterium wieringae,467,52,259.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_007994225.1,WP_147136199.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Stackebrandtia,Stackebrandtia albiflava,Stackebrandtia albiflava,439,95,267
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_019415425.1,DXZF01000345.1_5,Bacteria,Bacillota_A,Clostridia,Christensenellales,QAND01,Allochristensenella,Allochristensenella sp019415425,Firmicutes bacterium,166,370,268
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_020025075.1,JAHHSR010000023.1_4,Bacteria,Bacillota_C,Negativicutes,Selenomonadales,Selenomonadaceae,JAHHSR01,JAHHSR01 sp020025075,Pectinatus sp.,310,228,269
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_023703085.1,WP_251604391.1,Bacteria,Bacillota,Bacilli,Bacillales_H,Bacillaceae_D,Shouchella,Shouchella plakortidis_A,Shouchella plakortidis,365,175,270
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_004299545.1,TAN09877.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,65-79,65-79 sp004299545,Rhizobiaceae bacterium,469,78,273.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_944377145.1,CALWEH010000010.1_74,Bacteria,Bacillota_A,Clostridia,Christensenellales,UBA1242,Onthoplasma,Onthoplasma sp944377145,uncultured Clostridia bacterium,116,436,276
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_005862235.1,WP_138381655.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Saccharomonospora,Saccharomonospora piscinae,Saccharomonospora piscinae,477,87,282
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_900099975.1,WP_074585963.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter_G,Arthrobacter_G cupressi,Arthrobacter cupressi,363,203,283
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_014384795.1,WP_249316383.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,NSJ-53,Gehongia,Gehongia tenuis,Gehongia tenuis,350,218,284
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_009741735.1,WP_156644206.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus_B,Lentibacillus_B sp009741735,Lentibacillus sp. JNUCC-1,414,163,288.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_024723325.1,WP_258275640.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Agrococcus,Agrococcus sp024723325,Agrococcus sp. HG114,265,325,295
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_900156645.1,WP_076558956.1,Bacteria,Bacillota,Bacilli,Bacillales_D,Halobacillaceae,Salimicrobium,Salimicrobium flavidum,Salimicrobium flavidum,206,388,297
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_016786355.1,WP_238434982.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Frankiaceae,Frankia,Frankia sp016786355,Frankia sp. AgB1.9,471,127,299
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_013407955.1,WP_179756157.1,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Microlunatus_B,Microlunatus_B parietis,Microlunatus parietis,513,92,302.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_019359395.1,MBW4690089.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Komarekiella,Komarekiella atlantica,Komarekiella atlantica HA4396-MV6,403,213,308
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_001189295.1,WP_156338287.1,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Chondromyces,Chondromyces crocatus,Chondromyces crocatus,420,198,309
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_001429185.1,WP_235508793.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Terrabacter,Terrabacter sp001429185,Terrabacter sp. Root85,300,324,312
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_017409065.1,MBQ2870306.1,Bacteria,Cyanobacteriota,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,RGIG2134,RGIG2134 sp017409065,bacterium,559,67,313
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_019240175.1,MBV9788059.1,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Herpetosiphonaceae,LB3-1,LB3-1 sp019240175,Chloroflexi bacterium,423,205,314
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_003023695.1,PSR32851.1,Bacteria,Bacillota_E,Sulfobacillia,Sulfobacillales,Sulfobacillaceae,Sulfobacillus_C,Sulfobacillus_C benefaciens_A,Sulfobacillus benefaciens,592,47,319.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_014269395.1,WP_186504567.1,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Megasphaeraceae,Caecibacter,Caecibacter hominis,Megasphaera hominis,428,211,319.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_003367905.1,WP_232818754.1,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Megasphaeraceae,Megasphaera,Megasphaera stantonii,Megasphaera stantonii,622,45,333.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_000433675.1,CDD29878.1,Bacteria,Bacillota,Bacilli,RF39,UBA660,CAG-433,CAG-433 sp000433675,Clostridium sp. CAG:433,499,170,334.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_900095875.1,LT608311.1_1318,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Megasphaeraceae,Caecibacter,Caecibacter massiliensis,Caecibacter massiliensis,554,119,336.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_018903255.1,MBU4541809.1,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium sp018903255,Firmicutes bacterium,574,100,337
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_003814815.1,WP_242005968.1,Bacteria,Bacillota,Bacilli,Bacillales_H,Salisediminibacteriaceae,Salisediminibacterium,Salisediminibacterium halotolerans,Salisediminibacterium halotolerans,362,314,338
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_934167095.1,CAKPKE010000001.1_27,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-245,CAG-245 sp934167095,uncultured Clostridia bacterium,359,319,339
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_900155415.1,LT700187.1_1999,Bacteria,Bacillota_A,Clostridia,Christensenellales,Christensenellaceae,Christensenella,Christensenella massiliensis,Christensenella massiliensis,390,288,339
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_007693595.1,TVQ93605.1,Bacteria,Myxococcota,UBA796,UBA796,GCA-2862545,REDI01,REDI01 sp007693595,Deltaproteobacteria bacterium,429,273,351
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_004365705.1,WP_134006864.1,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus sp004365705,Streptomyces sp. 846.5,389,327,358
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_003002895.1,WP_106296015.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Knoellia,Knoellia remsis,Knoellia remsis,583,137,360
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_013815505.1,MBA3802014.1,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,JACDHN01,JACDHN01 sp013815505,Acidimicrobiia bacterium,565,159,362
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_018385275.1,MBS7262643.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,MB2-83,MB2-83,MB2-83 sp018385275,Eubacteriales bacterium,617,108,362.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_019113825.1,HIW61916.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Stackebrandtia,Stackebrandtia excrementipullorum,Candidatus Stackebrandtia excrementipullorum,461,267,364
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_900546845.1,UREK01000049.1_8,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-138,UBA1685,UBA1685 sp900546845,uncultured Eubacteriales bacterium,661,75,368
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_003467125.1,WP_233539437.1,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Megasphaeraceae,Caecibacter,Caecibacter sp003467125,Megasphaera sp. AM44-1BH,616,120,368
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_014203735.1,WP_184813105.1,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinophytocola,Actinophytocola algeriensis,Actinophytocola algeriensis,657,80,368.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_017441925.1,MBQ5959929.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Bianqueaceae,RUG12817,RUG12817 sp017441925,Firmicutes bacterium,401,341,371
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_900103955.1,WP_090843041.1,Bacteria,Bacillota,Bacilli,Bacillales_H,Salisediminibacteriaceae,Alkalicoccus,Alkalicoccus daliensis,Alkalicoccus daliensis,484,274,379
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_017438675.1,MBQ6539784.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,SIG495,SIG495 sp017438675,Oscillospiraceae bacterium,376,386,381
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_016907715.1,WP_205113908.1,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Actinopolymorphaceae,Tenggerimyces,Tenggerimyces flavus,Tenggerimyces flavus,540,239,389.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_014083985.1,WP_182316634.1,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,SCUT-3,SCUT-3 sp014083985,Streptomyces sp. SCUT-3,371,412,391.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_023457235.1,JAEWMK010000143.1_1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_J,Schinkia,Schinkia sp023457235,Firmicutes bacterium,528,256,392
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_020634795.1,MCB9127301.1,Bacteria,Chloroflexota,Anaerolineae,Ardenticatenales,Ardenticatenaceae,JACKAZ01,JACKAZ01 sp020634795,Ardenticatenales bacterium,462,323,392.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_018715445.1,HIT74447.1,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Avipropionibacterium,Avipropionibacterium avicola,Candidatus Avipropionibacterium avicola,624,162,393
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_020860385.1,MCC8099520.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Onthomonas,Onthomonas sp020860385,Clostridiales bacterium,716,76,396
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCF_001591565.1,WP_061785043.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_H,Priestia,Priestia flexa,Priestia flexa NBRC 15715,360,435,397.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,PG_binding_1,273,327,GCA_012032345.1,NJN01068.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,JAAUQI01,JAAUQI01 sp012032345,Leptolyngbyaceae cyanobacterium RM1_1_2,723,74,398.5
