assembly_accession,protein_id,hmm_accession,hmm_query,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species
GCA_020833325.1,MCC6043793.1,PF01471.21,PG_binding_1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,DSZV01,DSZV01 sp020833325
GCA_020854775.1,MCC7574376.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,21-14-0-10-32-9,21-14-0-10-32-9,21-14-0-10-32-9 sp020854775
GCA_020854785.1,MCC7575314.1,PF01476.23,LysM,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans sp020854785
GCA_020854785.1,MCC7577318.1,PF01476.23,LysM,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans sp020854785
GCA_020854825.1,MCC7552319.1,PF01471.21,PG_binding_1,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,JAHKLY01,JAHKLY01,JAHKLY01 sp020854825
GCA_020854835.1,MCC7569980.1,PF01471.21,PG_binding_1,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,JAGGVH01,JAGGVH01,JAGGVH01 sp020854835
GCA_020854835.1,MCC7570113.1,PF01476.23,LysM,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,JAGGVH01,JAGGVH01,JAGGVH01 sp020854835
GCA_020854835.1,MCC7570120.1,PF01476.23,LysM,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,JAGGVH01,JAGGVH01,JAGGVH01 sp020854835
GCA_021108405.1,MCD4844465.1,PF01476.23,LysM,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanocomedenaceae,Methanomarinus,Methanomarinus sp021108405
GCA_021155845.1,MCD6037635.1,PF01471.21,PG_binding_1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,JAJNBK01,JAJNBK01 sp021155845
GCA_021157925.1,MCD6195671.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,JAGHDU01,JAGHDU01 sp021157925
GCA_021162905.1,MCD6515049.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,JAGGXT01,JAGGXT01,JAGGXT01,JAGGXT01,JAGGXT01 sp021162905
GCA_021163005.1,MCD6496661.1,PF04122.15,CW_binding_2,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,JAFGSV01,JAFGFG01,JAFGFG01 sp021163005
GCA_021323995.1,JAJPJY010000066.1_37,PF07653.20,SH3_2,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6 sp021323995
GCA_021323995.1,JAJPJY010000066.1_37,PF00018.31,SH3_1,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6 sp021323995
GCA_021324115.1,JAJPJS010000008.1_237,PF01476.23,LysM,Archaea,Thermoproteota,Nitrososphaeria,Conexivisphaerales,DTJL01,JAJPJS01,JAJPJS01 sp021324115
GCA_021324265.1,JAJPJK010000004.1_86,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei,Gearchaeales,Gearchaeaceae,DSFO01,DSFO01 sp021324265
GCA_021325255.1,JAJPHP010000032.1_4,PF01476.23,LysM,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,CADDZS01,CADDZS01,CADDZS01 sp021325255
GCA_021325255.1,JAJPHP010000054.1_143,PF01476.23,LysM,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,CADDZS01,CADDZS01,CADDZS01 sp021325255
GCA_021325255.1,JAJPHP010000054.1_63,PF01476.23,LysM,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,CADDZS01,CADDZS01,CADDZS01 sp021325255
GCA_021325255.1,JAJPHP010000074.1_9,PF01476.23,LysM,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,CADDZS01,CADDZS01,CADDZS01 sp021325255
GCA_021325295.1,JAJPHM010000036.1_16,PF01476.23,LysM,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,JAJPHM01,JAJPHM01 sp021325295
GCA_021372715.1,MCE5214222.1,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_A,Methanobacterium_A sp021372715
GCA_021399405.1,MCE7736297.1,PF07653.20,SH3_2,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,Kariarchaeaceae,LC-2,LC-2 sp021399405
GCA_021399405.1,MCE7737092.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,Kariarchaeaceae,LC-2,LC-2 sp021399405
GCA_021409285.1,MCE8427098.1,PF01476.23,LysM,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp021409285
GCA_021409285.1,MCE8429587.1,PF01471.21,PG_binding_1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp021409285
GCA_021498125.1,MCF2137607.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,B65-G9,B65-G9 sp021498125
GCA_021513695.1,UJG42157.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,UBA460,PR6,PR6 sp021513695
GCA_021513715.1,UJG43165.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,UBA460,PR6,PR6 sp021513715
GCA_021654415.1,BCS93223.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera javensis
GCA_021735165.1,MCF7872429.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,21-14-0-10-32-9,JAIPET01,JAIPET01 sp021735165
GCA_021736975.1,MCF8013605.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,21-14-0-10-32-9,JAIPET01,JAIPET01 sp021736975
GCA_021790425.1,JAJYEA010000006.1_9,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAJYEA01,JAJYEA01 sp021790425
GCA_021792255.1,JAJYUZ010000001.1_411,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp021792255
GCA_021796175.1,JAJYOM010000128.1_3,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Sysuiplasmatales,Sysuiplasmataceae,JAJZXY01,JAJZXY01 sp021796175
GCA_021796175.1,JAJYOM010000181.1_4,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,Sysuiplasmatales,Sysuiplasmataceae,JAJZXY01,JAJZXY01 sp021796175
GCA_021796895.1,JAKABN010000097.1_2,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,Sysuiplasmatales,Sysuiplasmataceae,Sysuiplasma,Sysuiplasma sp021796895
GCA_021797265.1,JAJZZZ010000013.1_5,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,UBA447,UBA447 sp021797265
GCA_021797555.1,JAJZZM010000013.1_307,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp021797555
GCA_021797915.1,JAJZYT010000028.1_4,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp021797915
GCA_021798195.1,JAJZYH010000001.1_132,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAJZYH01,JAJZYH01 sp021798195
GCA_021800105.1,JAJYZI010000045.1_8,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,UBA582,UBA582 sp021800105
GCA_021800855.1,JAJYYP010000025.1_12,PF08239.14,SH3_3,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA183,UBA183,UBA183 sp021800855
GCA_021800855.1,JAJYYP010000025.1_12,PF18348.4,SH3_16,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA183,UBA183,UBA183 sp021800855
GCA_021802055.1,JAKAAY010000020.1_2,PF01476.23,LysM,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAKAFX01,JAKAFX01 sp021802055
GCA_021802125.1,JAKAAX010000006.1_33,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAKAAX01,JAKAAX01 sp021802125
GCA_021802125.1,JAKAAX010000014.1_5,PF01476.23,LysM,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAKAAX01,JAKAAX01 sp021802125
GCA_021802365.1,JAKAAJ010000006.1_10,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,UBA447,UBA447 sp021802365
GCA_021804185.1,JAJZKL010000167.1_6,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,UBA447,UBA447 sp021804185
GCA_021805625.1,JAJZEU010000092.1_10,PF09374.13,PG_binding_3,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,CABMGC01,JAJZEU01,JAJZEU01 sp021805625
GCA_021806135.1,JAJZYB010000019.1_29,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAKATE01,JAKATE01 sp021806135
GCA_021806165.1,JAJZXY010000001.1_10,PF08239.14,SH3_3,Archaea,Thermoplasmatota,Thermoplasmata,Sysuiplasmatales,Sysuiplasmataceae,JAJZXY01,JAJZXY01 sp021806165
GCA_021806165.1,JAJZXY010000012.1_55,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,Sysuiplasmatales,Sysuiplasmataceae,JAJZXY01,JAJZXY01 sp021806165
GCA_021806235.1,JAJZXU010000008.1_15,PF08239.14,SH3_3,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp021806235
GCA_021806235.1,JAJZXU010000008.1_15,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp021806235
GCA_021806345.1,JAJZXP010000460.1_13,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma sp021806345
GCA_021806865.1,JAKAPU010000002.1_2,PF01476.23,LysM,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,CADDZS01,CADDZS01,CADDZS01 sp021806865
GCA_021811505.1,JAJZOM010000021.1_2,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZOM01,JAJZOM01 sp021811505
GCA_021811525.1,JAJZOK010000045.1_10,PF08239.14,SH3_3,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZOM01,JAJZOM01 sp021811525
GCA_021811525.1,JAJZOK010000045.1_10,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZOM01,JAJZOM01 sp021811525
GCA_021811925.1,JAKAPY010000015.1_8,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,Sysuiplasmatales,Sysuiplasmataceae,JAJZXY01,JAJZXY01 sp021811925
GCA_021811925.1,JAKAPY010000204.1_4,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,Sysuiplasmatales,Sysuiplasmataceae,JAJZXY01,JAJZXY01 sp021811925
GCA_021816645.1,JAKAXF010000096.1_5,PF01476.23,LysM,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,Micrarchaeaceae,JAKATY01,JAKATY01 sp021816645
GCA_021817225.1,JAKAVR010000034.1_19,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,Sysuiplasmatales,Sysuiplasmataceae,JAJZXY01,JAJZXY01 sp021817225
GCA_021817245.1,JAKAVQ010000002.1_44,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,UBA184 sp021817245
GCA_021817415.1,JAKAUZ010000027.1_43,PF08239.14,SH3_3,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,JAKAUZ01,JAKAUZ01 sp021817415
GCA_021817415.1,JAKAUZ010000027.1_43,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,JAKAUZ01,JAKAUZ01 sp021817415
GCA_021817455.1,JAKAUW010000015.1_19,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZOM01,JAJZOM01 sp021817455
GCA_021817605.1,JAKAUN010000010.1_28,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,UBA184 sp021817605
GCA_021817735.1,JAKAFX010000039.1_1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAKAFX01,JAKAFX01 sp021817735
GCA_021819035.1,JAKASL010000003.1_98,PF08239.14,SH3_3,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA183,UBA183,UBA183 sp021819035
GCA_021819035.1,JAKASL010000003.1_98,PF18348.4,SH3_16,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA183,UBA183,UBA183 sp021819035
GCA_021821785.1,JAKACD010000001.1_156,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,UBA184 sp021821785
GCA_021826685.1,JAKAYT010000013.1_32,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,UBA184 sp021826685
GCA_021826835.1,JAKAYH010000013.1_3,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAKAYH01,JAKAYH01 sp021826835
GCA_021827405.1,JAKAVY010000040.1_8,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAKATE01,JAKATE01 sp021827405
GCA_021827865.1,JAKAUC010000013.1_198,PF18348.4,SH3_16,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA183,UBA183,UBA183 sp021827865
GCA_021827885.1,JAKAUD010000194.1_8,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,GCA-000496135,GCA-000496135 sp021827885
GCA_021828085.1,JAKATE010000006.1_9,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAKATE01,JAKATE01 sp021828085
GCA_021828665.1,JAJZDH010000127.1_2,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAKIVR01,JAKIVR01 sp021828665
GCA_021835025.1,JAKBQY010000052.1_7,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZXB01,JAJZXB01 sp021835025
GCA_021847855.1,JAJZOT010000130.1_5,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZOT01,JAJZOT01 sp021847855
GCA_021850545.1,JAJZLU010000031.1_7,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZOM01,JAJZOM01 sp021850545
GCA_021850835.1,JAJZKS010000040.1_7,PF08239.14,SH3_3,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZOM01,JAJZOM01 sp021850835
GCA_021850835.1,JAJZKS010000040.1_7,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZOM01,JAJZOM01 sp021850835
GCA_021850835.1,JAJZKS010000200.1_3,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZOM01,JAJZOM01 sp021850835
GCA_021851265.1,JAJZIG010000026.1_16,PF08239.14,SH3_3,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA183,UBA183,UBA183 sp021851265
GCA_021851265.1,JAJZIG010000026.1_16,PF18348.4,SH3_16,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA183,UBA183,UBA183 sp021851265
GCA_022257805.1,JAKOPB010000006.1_9,PF04122.15,CW_binding_2,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,PWEA01,PWEA01,PWEA01 sp022257805
GCA_022257805.1,JAKOPB010000103.1_1,PF04122.15,CW_binding_2,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,PWEA01,PWEA01,PWEA01 sp022257805
GCA_022449345.1,MCH2441250.1,PF01471.21,PG_binding_1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O1,MGIIb-O1 sp022449345
GCA_022565615.1,MCH8520067.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA583,UBA583,UBA583 sp022565615
GCA_022729255.1,JALDAG010000001.1_83,PF01476.23,LysM,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALDAI01,JALDAI01 sp022729255
GCA_022729255.1,JALDAG010000001.1_89,PF01476.23,LysM,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALDAI01,JALDAI01 sp022729255
GCA_022729275.1,JALDAH010000034.1_8,PF01476.23,LysM,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALDAI01,JALDAI01 sp022729275
GCA_022729275.1,JALDAH010000041.1_6,PF01476.23,LysM,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALDAI01,JALDAI01 sp022729275
GCA_022729285.1,JALDAI010000008.1_10,PF01476.23,LysM,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALDAI01,JALDAI01 sp022729285
GCA_022729335.1,JALDAE010000012.1_14,PF08823.14,PG_binding_2,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALDAI01,JALDAI01 sp022729335
GCA_022729335.1,JALDAE010000012.1_14,PF01471.21,PG_binding_1,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALDAI01,JALDAI01 sp022729335
GCA_022729335.1,JALDAE010000016.1_14,PF04122.15,CW_binding_2,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALDAI01,JALDAI01 sp022729335
GCA_022729335.1,JALDAE010000019.1_9,PF01471.21,PG_binding_1,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALDAI01,JALDAI01 sp022729335
GCA_022729335.1,JALDAE010000022.1_12,PF01476.23,LysM,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALDAI01,JALDAI01 sp022729335
GCA_022729335.1,JALDAE010000022.1_18,PF01476.23,LysM,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALDAI01,JALDAI01 sp022729335
GCA_022749815.1,MCI4352251.1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAKIWV01,JAKIWV01 sp022749815
GCA_022749845.1,MCI4362848.1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAKIVR01,JAKIVR01 sp022749845
GCA_022749995.1,MCI4334165.1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAKIVR01,JAKIVR01 sp022749995
GCA_022750055.1,MCI4357615.1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,UBA184 sp022750055
GCA_022750115.1,MCI4356165.1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,UBA184 sp022750115
GCA_022750125.1,MCI4346248.1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAKIVR01,JAKIVR01 sp022750125
GCA_022750155.1,MCI4330319.1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,UBA184 sp022750155
GCA_022750195.1,MCI4319626.1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,UBA184 sp022750195
GCA_022750195.1,MCI4320639.1,PF01471.21,PG_binding_1,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,UBA184 sp022750195
GCA_022750455.1,MCI4323037.1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,JAKIVR01,JAKIVR01 sp022750455
GCA_022848835.1,MCJ2520712.1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,JAJISG01,JAJISG01,JAJISG01 sp022848835
GCA_022865215.1,MCJ7479138.1,PF04122.15,CW_binding_2,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALIDP01,JALIDP01 sp022865215
GCA_022865275.1,MCJ7450274.1,PF04122.15,CW_binding_2,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,JALIDP01,JALIDQ01,JALIDQ01 sp022865275
GCA_023128965.1,MCK4335112.1,PF01471.21,PG_binding_1,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,CS3-C152,CS3-C152 sp023128965
GCA_023129075.1,MCK4319005.1,PF01476.23,LysM,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,Bilamarchaeaceae,JAGMCT01,JAGMCT01 sp023129075
GCA_023132955.1,MCK4611381.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,UBA460,UBA460,UBA460 sp023132955
GCA_023135215.1,MCK4878387.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,UBA460,UBA460,UBA460 sp023135215
GCA_023135215.1,MCK4878840.1,PF00018.31,SH3_1,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,UBA460,UBA460,UBA460 sp023135215
GCA_023136245.1,MCK4954976.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,UBA460,UBA460,UBA460 sp023136245
GCA_023136775.1,MCK4996720.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JAGVXH01,JAGVXH01 sp023136775
GCA_023137655.1,MCK5107341.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,BS150m-G63,JAGLOT01,JAGLOT01 sp023137655
GCA_023139025.1,MCK5142351.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,UBA460,UBA460,UBA460 sp023139025
GCA_023144115.1,MCK5630884.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,JAGLGH01,JAGLGH01,JAGLGH01 sp023144115
GCA_023228245.1,MCK9568901.1,PF09374.13,PG_binding_3,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,RBG-13-33-26,RBG-13-33-26 sp023228245
GCA_023246445.1,JAHFIJ010000043.1_6,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,JACQNH01,JACQNH01,JACQNH01 sp023246445
GCA_023248035.1,JAHFFJ010000076.1_1,PF01471.21,PG_binding_1,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,Bilamarchaeaceae,Bilamarchaeum,Bilamarchaeum sp023248035
GCA_023249105.1,JAHFDG010000028.1_30,PF09374.13,PG_binding_3,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp023249105
GCA_023251795.1,JAHEYD010000010.1_32,PF09374.13,PG_binding_3,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,UBA8516,UBA8516 sp023251795
GCA_023251795.1,JAHEYD010000013.1_29,PF09374.13,PG_binding_3,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,UBA8516,UBA8516 sp023251795
GCA_023256255.1,JAGDXD010000028.1_180,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermocladiaceae,Caldivirga,Caldivirga sp023256255
GCA_023256325.1,JAGDXI010000018.1_6,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Caldisphaera,Caldisphaera sp023256325
GCA_023256455.1,JAGDXN010000026.1_28,PF07653.20,SH3_2,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma sp023256455
GCA_023256455.1,JAGDXN010000026.1_28,PF00018.31,SH3_1,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma sp023256455
GCA_023256475.1,JAGDXP010000002.1_29,PF18348.4,SH3_16,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,JAFMDN01,JAFMDN01 sp023256475
GCA_023261745.1,JAGDXR010000057.1_17,PF01476.23,LysM,Archaea,Thermoplasmatota,Thermoplasmata,ARK-15,ARK-15,JAGDXR01,JAGDXR01 sp023261745
GCA_023265925.1,JAHFSD010000019.1_27,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,JAHFRS01,JAHFRS01 sp023265925
GCA_023266955.1,JAHFOH010000172.1_1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,JAHFOH01,JAHFOH01,JAHFOH01 sp023266955
GCA_023269825.1,JAGDWI010000001.1_634,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,UBA285,UBA285 sp023269825
GCA_023270155.1,MCK4770461.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,UBA460,UBA460,UBA460 sp023270155
GCA_023270155.1,MCK4771044.1,PF00018.31,SH3_1,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,UBA460,UBA460,UBA460 sp023270155
