query,target,pfam_domain,domain_type,normalized_score,rank
QQM14811.1@MW286254$CHAP:18-107,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,19.68,8
QQO40378.1@MW394467$LysM:273-317,NP_389128.1@GCF_000009045.1,LysM,cell wall binding,42.51,740
QQO41433.1@MW419087$PG_binding_1:155-212,NP_389128.1@GCF_000009045.1,PG_binding_1,cell wall binding,27.78,4340
QQO92537.1@MW349128$CHAP:18-110,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.93,18
QQO92804.1@MW349129$CHAP:18-110,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,16.98,19
QRD99848.1@MW354670$LysM:239-284,NP_389128.1@GCF_000009045.1,LysM,cell wall binding,36.18,106
QTZ82796.1@MW478289$Glyco_hydro_25:11-187,WP_011590484.1@GCF_000013285.1,Glyco_hydro_25,catalytic,96.75,1
QTZ82796.1@MW478289$SH3_3:218-273,WP_011590769.1@GCF_000013285.1,SH3_3,cell wall binding,89.74,1
QTZ82796.1@MW478289$SH3_3:284-340,WP_011590769.1@GCF_000013285.1,SH3_3,cell wall binding,89.51,1
QTZ82852.1@MW478290$Glyco_hydro_25:4-181,WP_011590769.1@GCF_000013285.1,Glyco_hydro_25,catalytic,10.04,1833
QTZ82852.1@MW478290$SH3_3:211-266,WP_011590769.1@GCF_000013285.1,SH3_3,cell wall binding,68.61,1
QTZ82852.1@MW478290$SH3_3:277-333,WP_011590484.1@GCF_000013285.1,SH3_3,cell wall binding,89.53,1
QTZ83006.1@MW478292$Glyco_hydro_25:4-181,WP_011590769.1@GCF_000013285.1,Glyco_hydro_25,catalytic,10.04,1833
QTZ83006.1@MW478292$SH3_3:211-266,WP_011590769.1@GCF_000013285.1,SH3_3,cell wall binding,69.07,1
QTZ83006.1@MW478292$SH3_3:277-333,WP_011590164.1@GCF_000013285.1,SH3_3,cell wall binding,62.88,1
QVD49436.1@MW791312$Glyco_hydro_25:31-215,WP_025016890.1@GCF_900099625.1,Glyco_hydro_25,catalytic,69.95,2
QVD49436.1@MW791312$LysM:258-302,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,58.81,78
QVD49436.1@MW791312$LysM:312-354,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,52.43,6
QWT56482.1@MZ041098$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,42.45,4
QWY79766.1@MW712720$PG_binding_1:376-436,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,33.63,13
QWY82896.1@MW862993$PG_binding_1:376-436,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,33.63,13
QXO13788.1@MZ005672$Amidase_2:151-291,WP_058126874.1@GCF_001457595.1,Amidase_2,catalytic,60.35,3
QXO13788.1@MZ005672$PG_binding_1:342-398,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,34.74,13
QYC52388.1@MZ503613$Glyco_hydro_25:4-176,WP_037403576.1@GCF_000425005.1,Glyco_hydro_25,catalytic,41.95,2
QYC53088.1@MZ401005$SH3_3:166-225,WP_011590164.1@GCF_000013285.1,SH3_3,cell wall binding,29.57,1
QZA70103.1@MZ501264$LysM:273-317,NP_389128.1@GCF_000009045.1,LysM,cell wall binding,38.47,1161
UAJ16987.1@MZ779063$CHAP:18-110,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,17.7,18
UAV84373.1@MZ751040$PG_binding_1:183-240,NP_389128.1@GCF_000009045.1,PG_binding_1,cell wall binding,30.35,1640
UAV84373.1@MZ751040$PG_binding_1:267-341,NP_389128.1@GCF_000009045.1,PG_binding_1,cell wall binding,48.31,8
UCR73991.1@OK173051$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.81,1
UCR73991.1@OK173051$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
UCR73991.1@OK173051$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,74.79,1
UCR73991.1@OK173051$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
UCR73991.1@OK173051$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
UCR73991.1@OK173051$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,79.27,1
UCR73991.1@OK173051$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,88.82,1
UCR73991.1@OK173051$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
UCR75242.1@OK247671$Glyco_hydro_25:4-181,WP_011590769.1@GCF_000013285.1,Glyco_hydro_25,catalytic,11.9,1730
UCR75242.1@OK247671$SH3_3:211-266,WP_011590769.1@GCF_000013285.1,SH3_3,cell wall binding,69.63,1
UCR75242.1@OK247671$SH3_3:277-333,WP_011590769.1@GCF_000013285.1,SH3_3,cell wall binding,63.44,1
UDY80750.1@OK896991$Amidase_3:4-183,WP_053532691.1@GCF_001277805.1,Amidase_3,catalytic,13.26,1704
UDY80750.1@OK896991$LysM:275-317,WP_053532778.1@GCF_001277805.1,LysM,cell wall binding,45.33,181
UGO52512.1@OL539449$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,35.01,4
UGO52512.1@OL539449$SH3_5:285-350,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,56.02,1
UIE13747.1@OL505084$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,35.49,4
UIE13747.1@OL505084$SH3_5:284-350,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,54.97,1
UJQ86246.1@OL455889$PG_binding_1:176-236,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,24.12,1438
UKL30017.1@OM112210$Amidase_3:5-195,MBO8176177.1@GCA_017656295.1,Amidase_3,catalytic,12.86,113
UKM35796.1@OM439662$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.87,6
UKM36000.1@OM439665$CHAP:20-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.43,7
UKM36130.1@OM439667$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.91,6
UKM36326.1@OM439670$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.86,6
UKM36465.1@OM439672$CHAP:20-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,42.24,4
UKM36539.1@OM439673$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,42.44,4
UKM96433.1@OM135992$Amidase_2:16-143,WP_029092206.1@GCF_000620985.1,Amidase_2,catalytic,55.29,1
UKM96433.1@OM135992$SH3_5:202-267,WP_029092206.1@GCF_000620985.1,SH3_5,cell wall binding,48.37,1
UMO75892.1@OM240926$LysM:213-258,NP_389128.1@GCF_000009045.1,LysM,cell wall binding,36.18,106
UMO75964.1@OM240929$LysM:213-258,NP_389128.1@GCF_000009045.1,LysM,cell wall binding,36.18,106
UPI30832.1@ON117106$SLT:149-217,WP_025015682.1@GCF_014131735.1,SLT,catalytic,41.05,15
UPI30847.1@ON117106$LysM:419-463,WP_021356215.1@GCF_014131735.1,LysM,cell wall binding,48.97,1
UPI30847.1@ON117106$SH3_5:335-400,WP_003641413.1@GCF_014131735.1,SH3_5,cell wall binding,52.08,5
URM86475.1@ON260818$Amidase_2:186-327,WP_058126874.1@GCF_001457595.1,Amidase_2,catalytic,55.06,3
URM86475.1@ON260818$PG_binding_1:375-432,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,43.8,1
URP22029.1@ON637769$PG_binding_1:381-441,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,33.63,13
URQ02974.1@ON391949$Glyco_hydro_108:6-90,WP_001984959.1@GCF_009759685.1,Glyco_hydro_108,catalytic,92.25,2
URQ02974.1@ON391949$PG_binding_3:93-179,WP_001019739.1@GCF_009759685.1,PG_binding_3,cell wall binding,97.59,1
USH90194.1@ON637248$Amidase_3:3-179,WP_141274094.1@GCF_006539985.1,Amidase_3,catalytic,14.51,6040
USR81514.1@ON721384$Glyco_hydro_108:7-97,UWO06517.1@GCA_025147485.1,Glyco_hydro_108,catalytic,33.67,152
USR81514.1@ON721384$PG_binding_3:98-166,UWO06517.1@GCA_025147485.1,PG_binding_3,cell wall binding,44.49,26
USR81528.1@ON721385$Glyco_hydro_108:7-97,UWO06517.1@GCA_025147485.1,Glyco_hydro_108,catalytic,34.9,144
USR81528.1@ON721385$PG_binding_3:98-166,UWO06517.1@GCA_025147485.1,PG_binding_3,cell wall binding,45.68,26
USR82268.1@OL840290$CHAP:20-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.43,7
UTN92201.1@ON456342$PG_binding_1:373-433,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,33.63,13
UUG68082.1@ON881243$LysM:298-341,MBO8176086.1@GCA_017656295.1,LysM,cell wall binding,45.86,135
UUG69210.1@ON645337$Amidase_2:190-330,WP_058126874.1@GCF_001457595.1,Amidase_2,catalytic,51.36,3
UUG69210.1@ON645337$PG_binding_1:387-444,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,41.37,3
UXD81390.1@OP323074$Glyco_hydro_25:32-217,WP_025016890.1@GCF_900099625.1,Glyco_hydro_25,catalytic,95.53,1
UXD81390.1@OP323074$LysM:332-376,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,92.58,1
UXD81390.1@OP323074$LysM:386-429,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,84.0,1
UXL91147.1@OP038320$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.78,6
UXN78511.1@OP433492$Amidase_3:4-174,WP_170844175.1@GCF_003049525.1,Amidase_3,catalytic,22.45,1296
UXQ87809.1@OP328423$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.91,6
UYE91024.1@OP381444$SH3_3:356-410,WP_011590270.1@GCF_000013285.1,SH3_3,cell wall binding,28.9,18
UYE96111.1@OP584903$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,20.61,5
UYL83257.1@OP136131$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.86,6
UYL83324.1@OP136132$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.86,6
UYL83539.1@OP136135$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.78,6
UYL93720.1@OP341623$Amidase_3:3-177,WP_062756115.1@GCF_003688615.2,Amidase_3,catalytic,15.17,4477
UYL93943.1@OP341626$Amidase_3:3-174,WP_029761950.1@GCF_000496575.1,Amidase_3,catalytic,34.82,506
UYL93943.1@OP341626$SPOR:191-228,WP_029761950.1@GCF_000496575.1,SPOR,cell wall binding,65.68,6
UYL94018.1@OP341627$Amidase_3:3-174,WP_029761950.1@GCF_000496575.1,Amidase_3,catalytic,34.9,508
UYL94018.1@OP341627$SPOR:191-228,WP_029761950.1@GCF_000496575.1,SPOR,cell wall binding,65.68,6
UYL94093.1@OP341628$SPOR:146-202,WP_029761950.1@GCF_000496575.1,SPOR,cell wall binding,66.84,2
UYL94146.1@OP341629$LysM:221-265,WP_029760502.1@GCF_000496575.1,LysM,cell wall binding,40.53,838
UYL94146.1@OP341629$LysM:278-322,WP_029760502.1@GCF_000496575.1,LysM,cell wall binding,42.69,807
WAB10141.1@OP820466$Amidase_2:151-291,WP_058126874.1@GCF_001457595.1,Amidase_2,catalytic,59.79,3
WAB10141.1@OP820466$PG_binding_1:342-398,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,34.74,13
WAB10776.1@OP820474$LysM:292-336,WP_003801780.1@GCF_000238915.1,LysM,cell wall binding,38.43,1546
WAK79276.1@ON453898$Choline_bind_1:288-307,WP_115623047.1@GCF_900461125.1,Choline_bind_1,cell wall binding,63.02,3
WAK79276.1@ON453898$Choline_bind_1:309-328,WP_115623047.1@GCF_900461125.1,Choline_bind_1,cell wall binding,70.98,3
WAK79276.1@ON453898$Choline_bind_3:267-311,WP_115623047.1@GCF_900461125.1,Choline_bind_3,cell wall binding,66.87,2
WAK79276.1@ON453898$Choline_bind_3:287-333,WP_115623047.1@GCF_900461125.1,Choline_bind_3,cell wall binding,81.14,2
WAK79684.1@ON453903$Amidase_2:302-429,WP_007492080.1@GCF_000239295.1,Amidase_2,catalytic,87.29,1
WAK79684.1@ON453903$SH3_3:224-272,WP_007492080.1@GCF_000239295.1,SH3_3,cell wall binding,90.98,1
WAK79841.1@ON453905$Amidase_2:308-434,WP_007492080.1@GCF_000239295.1,Amidase_2,catalytic,71.76,6
WAK79841.1@ON453905$SH3_3:224-272,WP_007492080.1@GCF_000239295.1,SH3_3,cell wall binding,64.85,8
WAX10148.1@OP172733$Glyco_hydro_108:7-97,UWO06517.1@GCA_025147485.1,Glyco_hydro_108,catalytic,34.7,143
WAX10148.1@OP172733$PG_binding_3:98-166,UWO06517.1@GCA_025147485.1,PG_binding_3,cell wall binding,45.68,26
WAX10199.1@OP172734$Glyco_hydro_108:7-97,UWO06517.1@GCA_025147485.1,Glyco_hydro_108,catalytic,34.53,142
WAX10199.1@OP172734$PG_binding_3:98-166,UWO06517.1@GCA_025147485.1,PG_binding_3,cell wall binding,45.68,26
WAX10227.1@OP172735$Glyco_hydro_108:7-97,UWO06517.1@GCA_025147485.1,Glyco_hydro_108,catalytic,34.7,143
WAX10227.1@OP172735$PG_binding_3:98-166,UWO06517.1@GCA_025147485.1,PG_binding_3,cell wall binding,44.83,26
WAX22093.1@OP889240$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.15,5
WAX23972.1@OP455940$LysM:327-371,WP_235803818.1@GCF_002370355.1,LysM,cell wall binding,32.4,275
WAX24261.1@OP596612$Amidase_2:31-168,WP_039185808.1@GCF_000011365.1,Amidase_2,catalytic,10.12,1286
WBF77170.1@OP869845$Glyco_hydro_25:34-221,WP_020752189.1@GCF_900636965.1,Glyco_hydro_25,catalytic,87.86,2
WBF77170.1@OP869845$LysM:349-393,WP_020752189.1@GCF_900636965.1,LysM,cell wall binding,89.0,4
WBF77170.1@OP869845$SH3_5:261-326,WP_020752189.1@GCF_900636965.1,SH3_5,cell wall binding,91.85,4
WBF77234.1@OP869848$Glyco_hydro_25:34-218,WP_020752189.1@GCF_900636965.1,Glyco_hydro_25,catalytic,68.46,4
WBF77234.1@OP869848$LysM:346-390,WP_020752189.1@GCF_900636965.1,LysM,cell wall binding,89.0,4
WBF77234.1@OP869848$SH3_5:258-323,WP_020752189.1@GCF_900636965.1,SH3_5,cell wall binding,91.85,4
WBF77306.1@OP869849$Glyco_hydro_25:34-218,WP_020752189.1@GCF_900636965.1,Glyco_hydro_25,catalytic,68.46,4
WBF77306.1@OP869849$LysM:345-389,WP_020752189.1@GCF_900636965.1,LysM,cell wall binding,84.57,9
WBF77306.1@OP869849$SH3_5:258-323,WP_020752189.1@GCF_900636965.1,SH3_5,cell wall binding,91.85,4
WBF77478.1@OP869854$Glyco_hydro_25:13-199,WP_020752189.1@GCF_900636965.1,Glyco_hydro_25,catalytic,96.62,1
WBF77478.1@OP869854$LysM:329-373,WP_020752189.1@GCF_900636965.1,LysM,cell wall binding,86.99,9
WBF77478.1@OP869854$SH3_5:241-306,WP_020752189.1@GCF_900636965.1,SH3_5,cell wall binding,94.09,2
WBK39616.1@OP172752$Choline_bind_3:15-62,WP_035763113.1@GCF_006742065.1,Choline_bind_3,cell wall binding,36.29,24
WBM89963.1@OP807346$Glyco_hydro_25:34-220,WP_015975061.1@GCF_000829055.1,Glyco_hydro_25,catalytic,94.92,2
WBM89963.1@OP807346$LysM:346-390,WP_025014034.1@GCF_000829055.1,LysM,cell wall binding,91.56,1
WBM89963.1@OP807346$SH3_5:259-324,WP_015975061.1@GCF_000829055.1,SH3_5,cell wall binding,94.34,3
WBU87800.1@OP750331$Amidase_2:16-145,WP_029092206.1@GCF_000620985.1,Amidase_2,catalytic,49.79,3
WBU87800.1@OP750331$SH3_5:195-259,WP_029092206.1@GCF_000620985.1,SH3_5,cell wall binding,83.63,1
WBY51813.1@OP869846$Glyco_hydro_25:34-220,WP_020752189.1@GCF_900636965.1,Glyco_hydro_25,catalytic,96.95,1
WBY51813.1@OP869846$LysM:349-393,WP_020752189.1@GCF_900636965.1,LysM,cell wall binding,84.57,9
WBY51813.1@OP869846$SH3_5:263-327,WP_020752189.1@GCF_900636965.1,SH3_5,cell wall binding,88.93,4
WCS66430.1@OQ269649$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,35.24,4
WCS68002.1@OM728296$PG_binding_1:181-244,NP_390448.1@GCF_000009045.1,PG_binding_1,cell wall binding,67.49,10
WCS68321.1@OM728297$LysM:221-265,NP_389128.1@GCF_000009045.1,LysM,cell wall binding,48.6,151
WCS68321.1@OM728297$LysM:282-326,NP_388823.2@GCF_000009045.1,LysM,cell wall binding,35.9,1436
WCS68525.1@OM728298$PG_binding_1:180-237,NP_389128.1@GCF_000009045.1,PG_binding_1,cell wall binding,28.15,2240
WCS68525.1@OM728298$PG_binding_1:264-338,NP_389128.1@GCF_000009045.1,PG_binding_1,cell wall binding,48.39,8
WFG34050.1@OQ129426$CHAP:3-98,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,57.53,2
WGH21297.1@OQ709215$PG_binding_1:376-436,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,33.63,13
WGL32391.1@OQ578995$CHAP:18-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,20.35,5
WHB31159.1@OQ658779$CHAP:18-107,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,22.45,7
WHM49639.1@OQ687052$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,44.31,3
WKV24158.1@OQ866599$Amidase_2:41-176,WP_010816176.1@GCF_000392875.1,Amidase_2,catalytic,33.59,5
WKV32713.1@OR052631$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.87,4
WKW85665.1@OR159661$PG_binding_1:373-433,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,33.79,13
WKW86224.1@OR159665$PG_binding_1:367-427,WP_058126874.1@GCF_001457595.1,PG_binding_1,cell wall binding,33.63,13
WLV27499.1@OR067381$Peptidase_M23:23-133,WP_003161907.1@GCF_001457615.1,Peptidase_M23,catalytic,14.19,7661
WLY86761.1@OR062948$CHAP:18-107,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,22.2,7
WLZ21127.1@OR296438$Glyco_hydro_108:7-97,UWO06517.1@GCA_025147485.1,Glyco_hydro_108,catalytic,35.53,137
WLZ21127.1@OR296438$PG_binding_3:98-166,UWO06517.1@GCA_025147485.1,PG_binding_3,cell wall binding,46.86,24
WMT10765.1@OR192057$Glyco_hydro_108:6-90,WP_001984959.1@GCF_009759685.1,Glyco_hydro_108,catalytic,94.54,2
WMT10765.1@OR192057$PG_binding_3:93-179,WP_001019739.1@GCF_009759685.1,PG_binding_3,cell wall binding,94.51,1
WNA13869.1@OR237563$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.87,4
WNA13869.1@OR237563$SH3_5:284-350,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,54.97,1
WNA13930.1@OR237564$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,35.1,4
WNA13930.1@OR237564$SH3_5:284-350,WP_010816176.1@GCF_000392875.1,SH3_5,cell wall binding,53.91,1
WNA13986.1@OR237565$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.15,5
WNA14193.1@OR208547$Amidase_2:21-144,NP_389128.1@GCF_000009045.1,Amidase_2,catalytic,75.0,14
WNA14193.1@OR208547$LysM:186-230,NP_389128.1@GCF_000009045.1,LysM,cell wall binding,36.92,737
YP_001429961.1@NC_009762$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,19.64,7
YP_001468737.1@NC_009813$Amidase_3:6-177,WP_003723525.1@GCF_900187225.1,Amidase_3,catalytic,12.6,3728
YP_001604156.1@NC_010147$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,42.45,4
YP_001642397.1@NC_010179$Glyco_hydro_25:4-180,WP_234600844.1@GCF_000159355.1,Glyco_hydro_25,catalytic,94.9,1
YP_001642397.1@NC_010179$SH3_5:226-288,WP_234600844.1@GCF_000159355.1,SH3_5,cell wall binding,90.99,1
YP_001686822.1@NC_010353$Amidase_5:2-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,91.89,1
YP_001686822.1@NC_010353$ZoocinA_TRD:167-200,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,77.16,1
YP_001949866.1@NC_010808$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,42.69,4
YP_002004544.1@NC_011048$LysM:213-258,NP_389128.1@GCF_000009045.1,LysM,cell wall binding,36.18,106
YP_002117687.1@NC_011104$Glyco_hydro_25:34-212,WP_020752189.1@GCF_900636965.1,Glyco_hydro_25,catalytic,38.32,45
YP_002117687.1@NC_011104$LysM:332-376,WP_020752189.1@GCF_900636965.1,LysM,cell wall binding,61.07,17
YP_002117687.1@NC_011104$LysM:388-432,WP_020752189.1@GCF_900636965.1,LysM,cell wall binding,90.66,3
YP_002268027.1@NC_011344$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.91,6
YP_002332423.1@NC_011612$CHAP:20-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.43,7
YP_002332536.1@NC_011614$CHAP:24-118,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,44.04,4
YP_002333580.1@NC_011645$Amidase_2:24-147,WP_015945848.1@GCF_000021305.1,Amidase_2,catalytic,26.26,111
YP_002727874.1@NC_012419$Amidase_2:41-176,WP_002410015.1@GCF_000392875.1,Amidase_2,catalytic,34.29,5
YP_002925118.1@NC_012753$Amidase_5:2-156,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,93.98,1
YP_002925118.1@NC_012753$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,79.37,1
YP_003344870.1@NC_013598$Amidase_5:3-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,87.52,1
YP_003344870.1@NC_013598$ZoocinA_TRD:167-200,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,80.18,1
YP_003347409.1@NC_013644$Glyco_hydro_25:28-227,WP_002389028.1@GCF_000392875.1,Glyco_hydro_25,catalytic,76.82,1
YP_003347409.1@NC_013644$LysM:339-383,WP_002389028.1@GCF_000392875.1,LysM,cell wall binding,82.67,1
YP_003347409.1@NC_013644$LysM:390-432,WP_002389028.1@GCF_000392875.1,LysM,cell wall binding,68.71,5
YP_003347431.1@NC_013645$Amidase_5:3-157,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,89.32,1
YP_003347431.1@NC_013645$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,82.01,1
YP_003358816.1@NC_013696$Glyco_hydro_25:28-213,WP_002389028.1@GCF_000392875.1,Glyco_hydro_25,catalytic,99.15,1
YP_003358816.1@NC_013696$LysM:325-369,WP_002389028.1@GCF_000392875.1,LysM,cell wall binding,92.39,1
YP_003358816.1@NC_013696$LysM:376-419,WP_002389028.1@GCF_000392875.1,LysM,cell wall binding,91.94,1
YP_004301385.1@NC_015253$Amidase_2:16-143,WP_029092206.1@GCF_000620985.1,Amidase_2,catalytic,55.45,1
YP_004301385.1@NC_015253$SH3_5:202-267,WP_029092206.1@GCF_000620985.1,SH3_5,cell wall binding,48.37,1
YP_004301557.1@NC_015254$Amidase_2:16-145,WP_029092206.1@GCF_000620985.1,Amidase_2,catalytic,53.43,1
YP_004301557.1@NC_015254$SH3_5:195-259,WP_029092206.1@GCF_000620985.1,SH3_5,cell wall binding,88.57,1
YP_004306947.1@NC_015274$Choline_bind_1:196-216,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,51.62,1
YP_004306947.1@NC_015274$Choline_bind_3:216-262,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,56.4,1
YP_004957016.1@NC_016563$Amidase_2:20-142,WP_015945848.1@GCF_000021305.1,Amidase_2,catalytic,21.91,124
YP_004957430.1@NC_016565$CHAP:19-107,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,20.47,7
YP_006383225.1@NC_017974$Glyco_hydro_108:10-94,WP_007864128.1@GCF_000982825.1,Glyco_hydro_108,catalytic,26.39,331
YP_006383225.1@NC_017974$PG_binding_3:96-182,WP_007864128.1@GCF_000982825.1,PG_binding_3,cell wall binding,40.81,11
YP_006383525.1@NC_017978$Glyco_hydro_25:11-187,WP_011590769.1@GCF_000013285.1,Glyco_hydro_25,catalytic,94.55,1
YP_006383525.1@NC_017978$SH3_3:218-273,WP_011590769.1@GCF_000013285.1,SH3_3,cell wall binding,92.63,1
YP_006383525.1@NC_017978$SH3_3:284-340,WP_011590484.1@GCF_000013285.1,SH3_3,cell wall binding,93.43,1
YP_006488655.1@NC_018084$SH3_3:165-224,WP_011590164.1@GCF_000013285.1,SH3_3,cell wall binding,31.86,1
YP_006990322.1@NC_019418$CHAP:17-111,AUC92122.1@GCA_002831545.1,CHAP,catalytic,39.21,8
YP_006990322.1@NC_019418$SH3_5:153-219,AUC92122.1@GCA_002831545.1,SH3_5,cell wall binding,36.76,11
YP_007003107.1@NC_019457$Glyco_hydro_108:13-102,WP_000493681.1@GCF_000621645.1,Glyco_hydro_108,catalytic,18.15,427
YP_007003388.1@NC_019487$PG_binding_1:169-232,NP_390448.1@GCF_000009045.1,PG_binding_1,cell wall binding,65.57,9
YP_007010632.1@NC_019541$Glyco_hydro_108:6-90,WP_001984959.1@GCF_009759685.1,Glyco_hydro_108,catalytic,93.03,2
YP_007010632.1@NC_019541$PG_binding_3:93-179,WP_001019739.1@GCF_009759685.1,PG_binding_3,cell wall binding,94.51,1
YP_007392301.1@NC_020197$Amidase_5:2-156,WP_111679506.1@GCF_010120595.1,Amidase_5,catalytic,91.85,1
YP_007392301.1@NC_020197$ZoocinA_TRD:167-278,WP_111679506.1@GCF_010120595.1,ZoocinA_TRD,cell wall binding,84.14,1
YP_008058823.1@NC_021323$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,44.38,3
YP_008058948.1@NC_021325$SH3_3:321-375,WP_011590270.1@GCF_000013285.1,SH3_3,cell wall binding,25.64,17
YP_008059882.1@NC_021332$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,43.23,4
YP_008240306.1@NC_021784$LysM:178-222,WP_011227818.1@GCF_000091545.1,LysM,cell wall binding,38.18,2833
YP_008320196.1@NC_021861$Glyco_hydro_25:32-217,WP_025016890.1@GCF_900099625.1,Glyco_hydro_25,catalytic,95.25,1
YP_008320196.1@NC_021861$LysM:332-376,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,87.11,1
YP_008320196.1@NC_021861$LysM:386-428,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,86.35,1
YP_008767390.1@NC_022758$CHAP:19-113,WP_001041662.1@GCF_001027105.1,CHAP,catalytic,18.86,6
